AFFILIATE_COUNTRY_CODE,AFFILIATE_COUNTRY_NAME,UNRELATED_PARTY_REVENUES,RELATED_PARTY_REVENUES,TOTAL_REVENUES,COUNTRY_CODE,CONS_2016_x,SHARE_OF_UNRELATED_PARTY_REVENUES,SHARE_OF_RELATED_PARTY_REVENUES,SHARE_OF_TOTAL_REVENUES,CONS_2016_y,SHARE_OF_CONS_2016
ABW,Aruba,360224979.0,251287953.0,611512932.0,ABW,2327.9497206704,0.0038344932532507984,0.005278444891801216,0.004318457595313964,2327.9497206704,0.004139526522496963
AFG,Afghanistan,151406.2,8970.933,160377.133,AFG,18591.8631238794,1.6116762752322655e-06,1.8843949701218254e-07,1.1325710575790863e-06,18591.8631238794,0.03305978209949
AGO,Angola,2815481572.274,7566013154.898,10379753192.352,AGO,70692.1076939498,0.029970006864894854,0.15892836489766843,0.07330102384653553,70692.1076939498,0.12570368343094848
ALB,Albania,87426526.691,10278267.524,97704794.215,ALB,10939.7727699116,0.0009306307066278999,0.0002159007945304252,0.0006899837903613699,10939.7727699116,0.019452945709711414
AND,Andorra,23176.792,0.0,23176.792,AND,2236.3782152844,2.467104108180046e-07,0.0,1.636727339846542e-07,2236.3782152844,0.00397669539608365
ARE,United Arab Emirates,27732246974.767002,14173786301.416,41906033277.291,ARE,173959.2056623554,0.295201943567131,0.29772835906777967,0.29593720463755796,173959.2056623554,0.3093317434125889
ARG,Argentina,70174150058.659,15524696613.31,85682604657.513,ARG,464850.7633813206,0.7469840256484186,0.3261049905376475,0.6050840064156169,464850.7633813206,0.8265909039761351
ARM,Armenia,2436042.0,31969704.0,34405746.0,ARM,9465.9816118999,2.5930979688211964e-05,0.000671541626872964,0.00024297074904074643,9465.9816118999,0.016832271589028926
AUS,Australia,203955037035.813,40476056854.519,244431307442.793,AUS,987167.8585509878,2.1710438172593847,0.8502223564374032,1.726155214259397,987167.8585509878,1.755367607961716
AUT,Austria,43227788930.621,19382416804.961,62610114638.062004,AUT,284465.1076590921,0.46014761515862507,0.40713857450583174,0.4421478450470724,284465.1076590921,0.505831740017416
AZE,Azerbaijan,1514965895.296,28486254.0,1543452149.296,AZE,27090.2522967973,0.0161263844626876,0.0005983697989407872,0.010899741131118015,27090.2522967973,0.048171494808501504
BEL,Belgium,164952791044.062,147985531955.6,313387772143.258,BEL,354680.9079498587,1.7558759143222673,3.108519393333283,2.2131204984730797,354680.9079498587,0.6306884605131982
BEN,Benin,255468.2,8150.133,263618.333,BEN,9870.745148741,2.719386901040324e-06,1.7119813101963755e-07,1.8616525225142024e-06,9870.745148741,0.017552016255855705
BFA,Burkina Faso,864336916.665,34420206.212,898757128.4100001,BFA,10942.4562224413,0.00920062257950063,0.0007230158051169126,0.0063469541597931944,10942.4562224413,0.019457717386187037
BGD,Bangladesh,1405813746.171,134528967.016,1540342713.185,BGD,165285.9150151391,0.014964490635781064,0.0028258566726630926,0.010877782530918386,165285.9150151391,0.2939090234317049
BGR,Bulgaria,3413120647.897,1990837738.882,5403958375.714,BGR,41078.7830226474,0.03633170618324067,0.041818667261007844,0.03816234109070753,41078.7830226474,0.0730456978190994
BHR,Bahrain,727443241.133,695247257.0,1422690498.133,BHR,20063.2937047872,0.007743428032089308,0.014604059957663222,0.010046931578944042,20063.2937047872,0.035676258676109046
BHS,Bahamas,16042106851.874,18600201947.917,34642308799.791,BHS,9034.488083,0.17076370068006658,0.3907077111589728,0.2446413374552629,9034.488083,0.01606499603693815
BIH,Bosnia and Herzegovina,818692355.635,190455730.191,1009148085.508,BIH,16757.0700899745,0.008714749107308328,0.00400062981189136,0.0071265266629857126,16757.0700899745,0.029797179664522132
BLR,Belarus,770798748.283,63357009.756,834155759.145,BLR,33484.223711792,0.008204935171653724,0.0013308496508241208,0.005890744226737974,33484.223711792,0.059541162298070736
BLZ,Belize,63482.013,0.0,63482.013,BLZ,1645.7007015,6.757481150447357e-07,0.0,4.4830512465052794e-07,1645.7007015,0.0029263611844629
BMU,Bermuda,11479724648.444,70252633678.99701,81732358328.19101,BMU,4205.443,0.12219842953654643,1.4756961125728294,0.5771876687070602,4205.443,0.007478057916274889
BOL,Bolivia,3275776995.546,271830367.57,3547607362.033,BOL,29314.0955137482,0.03486972175956545,0.005709949872273875,0.025052932090344,29314.0955137482,0.052125900651851166
BRA,Brazil,278969127324.4,50096322128.312004,329012637534.845,BRA,1519709.163667677,2.969547640922133,1.0523014433414433,2.323462103850703,1519709.163667677,2.702324854195042
BRB,Barbados,242501447.71899998,8701237983.466,8943739432.185,BRB,4414.07,0.002581359481964344,0.18277440139031587,0.0631600044092417,4414.07,0.007849035430153611
BRN,Brunei Darussalam,222850326.836,6376479.806,229226806.652,BRN,5400.7112882716,0.0023721788453137153,0.00013394154736759035,0.0016187821915692457,5400.7112882716,0.009603466698460683
BWA,Botswana,1179096556.481,23598381.273000002,1202694937.754,BWA,10251.7865990858,0.012551150126537014,0.0004956972811396348,0.008493339743123236,10251.7865990858,0.01822957865158424
CAF,Central African Republic,118817129.892,4117665.263,122934791.835,CAF,1796.2462098622,0.0012647748199091375,8.649387650362078e-05,0.0008681561055330175,1796.2462098622,0.003194059029985376
CAN,Canada,349038482650.86804,149802813442.107,498841454018.47,CAN,1215447.745624133,3.7154161562173327,3.1466924138259045,3.522780227914336,1215447.745624133,2.1612916013801673
CHE,Switzerland,327502044418.159,303259752632.293,630742643708.875,CHE,442586.3548109853,3.48616684837748,6.370141795738325,4.454256349909867,442586.3548109853,0.7870006546824045
