AFFILIATE_COUNTRY_NAME,UNRELATED_PARTY_REVENUES,RELATED_PARTY_REVENUES,TOTAL_REVENUES,CODE,CONTINENT_NAME,CONTINENT_CODE,COUNTRY_CODE,CONS_2017,SHARE_OF_UNRELATED_PARTY_REVENUES,SHARE_OF_RELATED_PARTY_REVENUES,SHARE_OF_TOTAL_REVENUES,SHARE_OF_CONS_2017
Algeria,1661667473,729314079,2390981552,DZA,Africa,AFR,DZA,104632.0515452627,0.04186611049879608,0.025874944542757124,0.0352256513766785,0.24594034512065835
Angola,687941312,5550658244,6238599556,AGO,Africa,AFR,AGO,85631.1940353788,0.017332846344329175,0.1969288381711025,0.09191151343452827,0.20127833778586213
Botswana,305585054,44815257,350400311,BWA,Africa,AFR,BWA,11785.8023216386,0.007699288723782203,0.0015899765587062088,0.005162348152473626,0.02770283338326544
Cameroon,72678445,8508160,81186605,CMR,Africa,AFR,CMR,28389.8051847337,0.0018311508521962102,0.00030185646280510715,0.0011960991676384558,0.06673097183821575
Congo,173461941,750754161,924216102,COG,Africa,AFR,COG,6636.8728215686,0.004370415204752369,0.026635605756788295,0.013616213047956103,0.015600141334822192
Cote D'Ivoire (Ivory Coast),133297916,952919098,1086217014,CIV,Africa,AFR,CIV,40536.8576473225,0.0033584729623670245,0.033808107541667444,0.016002926422654686,0.09528293302723527
Egypt,9456819078,1355499826,10812318904,EGY,Africa,AFR,EGY,189112.5354635932,0.23826682469259053,0.048091054095045015,0.1592948201407848,0.44451390899507454
Ethiopia,115575465,7297983,122873448,ETH,Africa,AFR,ETH,59623.2197132634,0.0029119515590588555,0.00025892123960901114,0.001810259572717286,0.1401459210339717
Gabon,153205130,18508326,171713456,GAB,Africa,AFR,GAB,7942.5581520812,0.003860039993430393,0.0006566470093185598,0.0025298055238782632,0.0186691884964019
Ghana,1485500241,832037957,2317538198,GHA,Africa,AFR,GHA,49651.7714462476,0.03742753483849064,0.02951943012585657,0.03414363132438075,0.11670777381307176
Kenya,629680314,295907333,925587647,KEN,Africa,AFR,KEN,74035.6915231931,0.01586494652702431,0.010498338166827251,0.013636419630469052,0.17402280902983128
Libya,1020551188,252772535,1273323723,LBY,Africa,AFR,LBY,53084.8224357782,0.025713031939745754,0.008967981715127612,0.0187595163662109,0.12477724901414557
Malawi,47079297,277132543,324211840,MWI,Africa,AFR,MWI,8543.8139251992,0.0011861741789102463,0.009832237423622058,0.004776520855411213,0.020082455752109495
Mauritius,4442695874,309069412,4751765286,MUS,Africa,AFR,MUS,11932.8942722516,0.11193478803410953,0.01096530853528546,0.07000640688692314,0.028048576820041915
Morocco,1847422598,788462843,2635885441,MAR,Africa,AFR,MAR,84376.3081028501,0.04654625542269426,0.027973451938049884,0.038833750739674655,0.19832869592397379
Mozambique,103074687,185921326,288996013,MOZ,Africa,AFR,MOZ,11814.4748019436,0.0025969914592959115,0.006596203389028322,0.004257696089153283,0.027770228790289706
Namibia,76319566,3869943,80189509,NAM,Africa,AFR,NAM,12399.2239786974,0.001922889769038742,0.0001372996400205667,0.0011814092357752422,0.02914469686403897
Nigeria,3334491635,8843238164,12177729799,NGA,Africa,AFR,NGA,317618.2031408037,0.08401331645264817,0.31374452195635366,0.1794110306288817,0.7465698067026896
Senegal,110669869,56751905,167421774,SEN,Africa,AFR,SEN,17643.3168257694,0.002788353891333159,0.002013470515452398,0.002466577393228275,0.04147107282251608
South Africa,28370520980,3343497996,31714018976,ZAF,Africa,AFR,ZAF,279323.4865754354,0.7148020801735296,0.11862217899857598,0.4672336243111015,0.6565570843170423
Tanzania,114625611,146417445,261043056,TZA,Africa,AFR,TZA,37595.1450817351,0.0028880197597260277,0.005194666301604732,0.003845873121550024,0.08836836150788233
Tunisia,242739945,208299286,451039231,TUN,Africa,AFR,TUN,37045.2896865991,0.006115891130428166,0.007390139075521544,0.006645032746120979,0.08707591217090546
Uganda,171682273,36667569,208349842,UGA,Africa,AFR,UGA,25252.8385744812,0.004325576042675823,0.0013009090893920895,0.003069558981974967,0.05935745063354227
Zambia,354587827,66604087,421191914,ZMB,Africa,AFR,ZMB,15702.4000951151,0.008933925341818368,0.0023630108166963976,0.006205300711262013,0.036908897814592403
Zimbabwe,81594738,302789066,384383804,ZWE,Africa,AFR,ZWE,22263.529257,0.0020557989927195955,0.01074249149508497,0.005663017292299676,0.052331001717019876
Argentina,33597084048,11359255339,44956339387,ARG,America,AMR,ARG,543457.079921875,0.8464865901547963,0.40300895102237955,0.6623289657310172,1.277409931472405
Aruba,320437782,39788768,360226550,ABW,America,AMR,ABW,2416.9106145251,0.008073506767861689,0.0014116444410839756,0.005307115337761354,0.005681010951075041
Bahamas,999157499,1402589255,2401746754,BHS,America,AMR,BHS,9844.6347,0.025174012814557112,0.04976171478706917,0.03538425203686942,0.023140068649589913
Barbados,422486174,23594017543,24016503717,BRB,America,AMR,BRB,4411.22,0.01064464047849698,0.837079542332493,0.35382832063847947,0.010368686776000334
Bermuda,11059060868,67065159006,78124219874,BMU,America,AMR,BMU,4343.386,0.2786356908561811,2.379368944050563,1.1509819183065373,0.010209241203400644
Bolivia,584285446,464885532,1049170978,BOL,America,AMR,BOL,31760.8538350217,0.014721211940744506,0.016493425405585984,0.015457137707583963,0.07465470893622829
Brazil,147133453473,30201185714,177334639187,BRA,America,AMR,BRA,1746894.289715306,3.7070626471666452,1.0714917317196873,2.612620817498608,4.106120239036272
Canada,372914674540,143441530085,516356204626,CAN,America,AMR,CAN,1297834.327381754,9.395674660903842,5.089085406340555,7.607329146946233,3.0505931755302345
Chile,27832468219,3687948532,31520416751,CHL,America,AMR,CHL,214765.4703491433,0.7012457118193131,0.13084275552843477,0.4643813377771905,0.5048117963626058
Colombia,18228515397,4315467920,22543983317,COL,America,AMR,COL,260089.0702229156,0.4592718171596584,0.15310618061720901,0.3321340962677148,0.6113460908779356
Costa Rica,6076152105,5865426643,11941578748,CRI,America,AMR,CRI,49309.5099233286,0.15309010952483296,0.20809633802124244,0.1759318843394409,0.11590327924544107
Curacao,144521174,941211036,1085732210,CUW,America,AMR,CUW,2740.6765273743,0.0036412456393432307,0.03339272346548376,0.015995783943167242,0.006442031108555098
Dominican Republic,2111877440,1993075383,4104952823,DOM,America,AMR,DOM,64309.5575196864,0.05320925859090617,0.07071125663084782,0.06047710277804362,0.1511612793342443
Ecuador,3798862269,1045853234,4844715503,ECU,America,AMR,ECU,77675.205,0.09571324594596622,0.03710526809892174,0.07137581600540413,0.18257757965066693
El Salvador,2561139328,1306260816,3867400144,SLV,America,AMR,SLV,24871.31,0.06452851960523412,0.04634412956722404,0.05697730670180438,0.05846065784495103
Guatemala,4057734141,1078099834,5135833975,GTM,America,AMR,GTM,68417.3149867369,0.1022355848460683,0.0382493279912476,0.07566478167952462,0.160816669572687
Guyana,115320436,12868215,128188651,GUY,America,AMR,GUY,4016.5303407215,0.0029055260422404267,0.00045654452461115234,0.0018885669472420545,0.009440958516973338
Honduras,2639598733,1659948165,4299546898,HND,America,AMR,HND,21008.802164966,0.06650532313107396,0.058892414050362045,0.06334400195599145,0.04938173321382523
Jamaica,415912912,126049291,541962203,JAM,America,AMR,JAM,13576.4667680613,0.0104790255659461,0.00447203544836388,0.007984575040424512,0.03191183650845009
Mexico,129527724401,90807899958,220335624358,MEX,America,AMR,MEX,890457.8950696142,3.2634820808277754,3.2217249647493604,3.2461421055321042,2.0930443281435522
Nicaragua,1392989968,58566077,1451556045,NIC,America,AMR,NIC,11550.8160071325,0.03509671632358083,0.002077834554544289,0.02138536248935485,0.02715049196937984
