AFFILIATE_COUNTRY_NAME,UNRELATED_PARTY_REVENUES,RELATED_PARTY_REVENUES,TOTAL_REVENUES,CODE,CONTINENT_NAME,CONTINENT_CODE,COUNTRY_CODE,CONS_2018,SHARE_OF_UNRELATED_PARTY_REVENUES,SHARE_OF_RELATED_PARTY_REVENUES,SHARE_OF_TOTAL_REVENUES,SHARE_OF_CONS_2018
Algeria,1669789190,797568863,2467358053,DZA,Africa,AFR,DZA,103576.0843469722,0.03809276590546858,0.025548284517819285,0.03287491547359823,0.2299689956456487
Angola,736205271,2940382378,3676587649,AGO,Africa,AFR,AGO,67740.4436980213,0.016794991376471335,0.09418838807443021,0.04898661061583276,0.15040346330952956
Botswana,322144549,62794177,384938726,BWA,Africa,AFR,BWA,12624.1957561661,0.0073490575734172486,0.0020114670650806287,0.0051288981201483485,0.028029381851839102
Cameroon,90695540,8554728,99250268,CMR,Africa,AFR,CMR,31570.0041558785,0.0020690300276108874,0.00027403103989599346,0.0013224040050712378,0.07009458017292354
Cote D'Ivoire (Ivory Coast),114206912,1093979480,1208186392,CIV,Africa,AFR,CIV,46162.8652272669,0.002605393057792194,0.03504311703765195,0.016097795561150208,0.10249497091314153
Egypt,9657976087,1377951127,11035927214,EGY,Africa,AFR,EGY,234261.9443474951,0.22032662829893185,0.04413949575692718,0.14704196413321793,0.5201295685123585
Ethiopia,282086319,10655026,292741345,ETH,Africa,AFR,ETH,60891.4566681268,0.006435212408341399,0.00034130925669394137,0.0039004663148913712,0.13519672250265954
Gabon,69996557,5645949,75642506,GAB,Africa,AFR,GAB,8295.308990334,0.0015968258005010728,0.00018085499336387368,0.0010078557459212616,0.01841799570919188
Ghana,1779525665,1093200416,2872726081,GHA,Africa,AFR,GHA,52744.779991352,0.040596175245102825,0.03501816151386843,0.03827601226212307,0.11710873370660017
Kenya,863884980,285527867,1149412847,KEN,Africa,AFR,KEN,82477.0382734343,0.019707738263888514,0.009146228648449713,0.015314700735650747,0.1831229841826307
Libya,2147576983,8645594,2156222577,LBY,Africa,AFR,LBY,53067.240704779,0.048992500231356435,0.00027694172325976485,0.028729366974100515,0.11782469016382217
Malawi,47917700,325307486,373225186,MWI,Africa,AFR,MWI,9431.4061971083,0.0010931426192958356,0.010420477269941409,0.00497282768808098,0.020940461539455234
Mauritius,-194596451,3195068994,3000472543,MUS,Africa,AFR,MUS,12912.4827424638,-0.0044393131171115,0.1023466881665046,0.03997809767092499,0.028669462707517163
Morocco,1971163934,879963289,2851127223,MAR,Africa,AFR,MAR,90957.0300551168,0.04496800359521103,0.028187600488872193,0.0379882305069729,0.20195102933815204
Mozambique,244515905,262280436,506796341,MOZ,Africa,AFR,MOZ,12977.3041357957,0.005578121588707132,0.00840155065379689,0.006752520921090598,0.028813385031042655
Namibia,192796518,3466686,196263204,NAM,Africa,AFR,NAM,13017.1762215716,0.004398251390981552,0.00011104731437082302,0.0026149979465820016,0.028901912644130095
Nigeria,3178472312,5821634689,9000107001,NGA,Africa,AFR,NGA,346669.2407210636,0.07251023209584288,0.1864826804220144,0.11991683029200573,0.7697064202851681
Senegal,218073527,46865258,264938785,SEN,Africa,AFR,SEN,19254.4174839844,0.004974893755415245,0.0015012207734406082,0.003530026844690309,0.042750400137745226
South Africa,28522594315,4810082098,33332676413,ZAF,Africa,AFR,ZAF,298942.3261528538,0.65068364004557,0.15407991923297176,0.444122375450863,0.6637388054857027
Swaziland,349146765,574512503,923659268,SWZ,Africa,AFR,SWZ,4134.9464982732,0.007965056945779276,0.018403186942979377,0.012306774983462693,0.009180782409874692
Tanzania,178015654,214824712,392840366,TZA,Africa,AFR,TZA,39856.3874255673,0.004061056734551558,0.00688141565982195,0.0052341790487865575,0.08849275818940062
Tunisia,225426321,192049265,417475586,TUN,Africa,AFR,TUN,36683.2607107775,0.00514263245097665,0.006151856587282637,0.005562417090358506,0.08144749510326119
Uganda,279281044,58778559,338059603,UGA,Africa,AFR,UGA,27208.1966416179,0.006371215896377237,0.0018828359763581033,0.004504283786518265,0.060410100405432925
Zambia,317136726,50902951,368039677,ZMB,Africa,AFR,ZMB,15175.8915282873,0.007234814511851481,0.0016305589840267044,0.0049037363092049755,0.033694887722308074
Zimbabwe,93162147,295689475,388851622,ZWE,Africa,AFR,ZWE,24957.467436,0.0021253005338487383,0.009471732394127593,0.005181033287600261,0.055412827742060536
Argentina,27846618621,11148772446,38995391067,ARG,America,AMR,ARG,425623.1344145022,0.6352626611438389,0.35712528872235083,0.5195720108918997,0.9450070000422574
Aruba,385204193,63244063,448448256,ABW,America,AMR,ABW,2537.7877094972,0.008787632138014942,0.0020258781285784565,0.005975094896485435,0.005634625931212883
Bahamas,3875238045,6359809373,10235047417,BHS,America,AMR,BHS,10014.359576,0.08840549247785627,0.20372186889208826,0.1363710946990574,0.022234787385978515
Barbados,408330435,32599034492,33007364927,BRB,America,AMR,BRB,4388.765,0.009315209228617147,1.0442351085210564,0.4397879467319192,0.009744333216862714
Bermuda,15968236047,94097204646,110065440693,BMU,America,AMR,BMU,4368.343,0.3642820790219848,3.0141875744558435,1.466504650570354,0.009698990444361845
Bolivia,471577895,331143604,802721499,BOL,America,AMR,BOL,34057.5748885673,0.010758068424451019,0.010607423889926958,0.010695408149773334,0.07561770982781166
Brazil,137466661371,33164971119,170631632490,BRA,America,AMR,BRA,1620022.966187616,3.1360158412642636,1.0623635869965895,2.2734845834030346,3.5969215944582245
Canada,363411265010,134928928165,498340193175,CAN,America,AMR,CAN,1354556.146365925,8.290471832217415,4.322137944900966,6.639851766874768,3.0075081375145483
Chile,31214405188,3169858682,34384263870,CHL,America,AMR,CHL,232463.0357603209,0.7120917040461424,0.10153913379265866,0.45813365716165383,0.5161354688738267
