AFFILIATE_COUNTRY_CODE,OTHER_COUNTRY_CODE,AFFILIATE_COUNTRY_NAME,UNRELATED_PARTY_REVENUES,RELATED_PARTY_REVENUES,TOTAL_REVENUES
ABW,ABW,Aruba,321027955.8922615,41830948.21054698,433356726.0444458
ABW,ARE,Aruba,241230.4228824199,542234.4296029793,638703.6535714675
ABW,AUS,Aruba,774301.2214786799,1740463.645309058,2050110.4844654484
ABW,BRA,Aruba,324727.37930660736,729917.7408506735,859777.8053844835
ABW,CAN,Aruba,1426249.3661952524,3205903.7260297965,3776267.811531017
ABW,CHE,Aruba,567711.8293207709,1276094.8485368097,1503125.5810534952
ABW,CHN,Aruba,1613525.5060725044,3626860.4597253874,4272117.187978299
ABW,COL,Aruba,775891.6521559128,1744038.5935298838,2054321.4536797088
ABW,CUW,Aruba,234275.45163003897,526601.1407960445,620289.0378016091
ABW,DEU,Aruba,1247675.1728557341,2804507.1081808857,3303458.501839922
ABW,DOM,Aruba,2111939.510993497,4747188.610856636,5591763.533287694
ABW,ESP,Aruba,372510.2437289796,837323.4068743585,986292.0722004679
ABW,FRA,Aruba,308478.58505175356,693393.9244130956,816756.0167862655
ABW,GBR,Aruba,1462225.5252305951,3286770.4419304836,3871521.569091031
ABW,HKG,Aruba,725345.9636621922,1630422.6895249337,1920492.082046263
ABW,IND,Aruba,829322.6626318201,1864140.0846367327,2195790.266763916
ABW,IRL,Aruba,315847.19017185865,709956.9737438065,836265.8072832564
ABW,ITA,Aruba,979204.4246289507,2201042.2496012924,2592630.880180064
ABW,JOR,Aruba,620559.61061869,1394885.3651120244,1643050.1834100524
ABW,JPN,Aruba,861061.2682534859,1935481.6862059766,2279824.29169162
ABW,KOR,Aruba,516250.8686013465,1160421.6082004558,1366872.851256579
ABW,MEX,Aruba,422703.7866264492,950147.7628471871,1119189.0710584274
ABW,NLD,Aruba,2011441.54209354,4521290.65739126,5325675.951356949
ABW,NOR,Aruba,248662.46271123714,558940.0666002232,658381.3995847385
ABW,OAFR,Aruba,3541766.588378352,7961134.266934055,9377504.019039975
ABW,OASIAOCN,Aruba,200013.2422645976,449587.0174105241,529573.2895984717
ABW,SAU,Aruba,292577.24579849263,657651.1125534237,774654.1817176122
ABW,SGP,Aruba,765781.4104124396,1721312.9310723231,2027552.6561835713
ABW,TWN,Aruba,229116.53140848313,515004.99081513565,606629.810434597
ABW,USA,Aruba,14558095.721552059,154073962.3952109,112919936.19487879
ABW,VEN,Aruba,618530.7210217318,1390324.854956677,1637678.3103984052
AGO,AGO,Angola,1062794532.5870712,962739385.0746269,5110392261.984211
AGO,ARE,Angola,2936406.127978051,65426256.581947505,21324589.18625029
AGO,BEL,Angola,1398372.7802141607,31157235.180714358,10155177.372496119
AGO,CHN,Angola,41813447.070870504,931648143.1395869,303655060.7736639
AGO,DEU,Angola,1148707.910388197,25594435.921750914,8342076.407833806
AGO,ESP,Angola,2912681.598614024,64897648.794806845,21152298.358525664
AGO,FRA,Angola,8153101.749001349,181659792.18146986,59208957.417232335
AGO,GBR,Angola,1824144.741007764,40643888.027152434,13247192.49412364
AGO,IDN,Angola,766595.0530705082,17080554.40926993,5567119.760166405
AGO,IND,Angola,6207940.6277184645,138319530.28727657,45082927.15963115
AGO,ITA,Angola,1506379.0317985306,33563729.521290876,10939533.77423453
AGO,JPN,Angola,551328.9829461557,12284197.051494837,4003827.657142065
AGO,KOR,Angola,685886.3300082169,15282278.08326633,4981001.802349953
AGO,NLD,Angola,552657.9717635054,12313808.338070625,4013478.95853838
AGO,PRT,Angola,3081442.57348484,68657823.09008406,22377863.999975026
AGO,THA,Angola,573697.608592981,12782593.859419517,4166271.723729008
AGO,TWN,Angola,3942637.3245093147,87846159.54351312,28631979.907163087
AGO,URY,Angola,673626.9642138628,15009126.353895143,4891972.585050034
AGO,USA,Angola,4881829.637073685,2036193799.4328358,278241957.09105694
AGO,ZAF,Angola,3799864.3296747073,84665025.12752749,27595142.586626954
ALB,ALB,Albania,14260840.112894395,475355.746384029,11996911.795122836
ALB,ARE,Albania,37651.83298707358,11863.632029468237,59758.363923793426
ALB,AUT,Albania,67080.07881546448,21136.11233343175,106464.82372498256
ALB,BEL,Albania,45361.85695135986,14292.966274153669,71995.17635407181
ALB,BGR,Albania,47642.37165136476,15011.528561624233,75614.65026981026
ALB,CAN,Albania,39157.68987704987,12338.109116356713,62148.354978923424
ALB,CHE,Albania,116480.55177154874,36701.59711165985,184869.80979646262
ALB,CHN,Albania,406270.5200882417,128010.87151327549,644804.2409854784
ALB,CZE,Albania,45347.57376751981,14288.465817632847,71972.50708062112
ALB,DEU,Albania,569390.3232067152,179407.92624846604,903696.6184502838
ALB,ESP,Albania,268528.7638449009,84610.12893256976,426190.12995619845
ALB,FRA,Albania,260862.91559332752,82194.71391461746,414023.4301368465
ALB,GBR,Albania,76759.29985637151,24185.91649039352,121827.00844677123
ALB,GRC,Albania,537002.3046265591,169202.85775338198,852292.6137170212
ALB,HUN,Albania,43802.352990990694,13801.585651577605,69520.0404095261
ALB,IND,Albania,47695.45232259014,15028.253631862151,75698.8962099613
ALB,ITA,Albania,2384491.0798085732,751323.9729420403,3784497.97568049
ALB,JPN,Albania,50786.69983941843,16002.267913298294,80605.10872164876
ALB,MKD,Albania,294004.74986308906,92637.30051307222,466623.8385704649
ALB,OEUR,Albania,344540.9438423086,108560.6370939266,546831.3618581204
ALB,POL,Albania,59296.65739047962,18683.651446653636,94111.51996295374
ALB,ROU,Albania,66715.02342937363,21021.08784651117,105885.43327082199
ALB,SAU,Albania,42504.390263119974,13392.613472276013,67460.00447241124
ALB,SRB,Albania,75272.33776883464,23717.392924638738,119467.00590457315
ALB,TUR,Albania,90140.7351535545,28402.243075248476,143065.08948750806
ALB,USA,Albania,498152.38139577553,743939.4210078344,2344554.2025074186
ARE,ARE,United Arab Emirates,15879645103.640116,1717677890.716278,18551563723.275795
ARE,AUS,United Arab Emirates,44203469.11705685,62486906.74619602,128931524.06151399
ARE,BEL,United Arab Emirates,52111511.970957264,73665874.05864887,151997496.88815156
ARE,BHR,United Arab Emirates,22849732.61700287,32300838.367077883,66647503.22891447
ARE,CHE,United Arab Emirates,278966566.23385787,394352709.3631477,813682393.3771236
ARE,CHN,United Arab Emirates,241507045.65693474,341399182.9589455,704421442.2556947
ARE,DEU,United Arab Emirates,47967143.10077735,67807311.45518023,139909310.02457336
ARE,EGY,United Arab Emirates,24442654.137085773,34552624.04063762,71293695.1092577
ARE,FRA,United Arab Emirates,47383486.398998424,66982242.68514156,138206915.40278935
ARE,GBR,United Arab Emirates,82401482.23497556,116484380.95503211,240346490.9360161
ARE,HKG,United Arab Emirates,84442504.66428131,119369611.02304298,246299691.84333086
ARE,IDN,United Arab Emirates,30271465.08531608,42792347.60619664,88295018.62600817
ARE,IND,United Arab Emirates,378241775.8648498,534690128.35606426,1103245731.6154578
ARE,IRQ,United Arab Emirates,37944731.36741825,53639430.067953736,110676201.28073126
ARE,ITA,United Arab Emirates,44883343.37859519,63447990.580303796,130914563.54826123
ARE,JPN,United Arab Emirates,340024699.1352062,480665705.44496816,991775160.496246
ARE,KOR,United Arab Emirates,145193754.84721914,205248791.56526047,423497351.46561766
ARE,KWT,United Arab Emirates,55065822.904131845,77842146.99532011,160614553.84712252
