AFFILIATE_COUNTRY_NAME,UNRELATED_PARTY_REVENUES,RELATED_PARTY_REVENUES,TOTAL_REVENUES,CODE,CONTINENT_NAME,CONTINENT_CODE,COUNTRY_CODE,CONS_2016,SHARE_OF_UNRELATED_PARTY_REVENUES,SHARE_OF_RELATED_PARTY_REVENUES,SHARE_OF_TOTAL_REVENUES,SHARE_OF_CONS_2016
El Salvador,2420676574,1116786446,3537463020,SLV,America,AMR,SLV,24175.56,0.08021554678875302,0.05425490085067468,0.06968830395759082,0.060433727494211976
Guatemala,3446896897,601213652,4048110549,GTM,America,AMR,GTM,62753.7646443016,0.11422208249011256,0.029207721132507393,0.07974810105368729,0.15687098506713543
Honduras,2088655741,1599231791,3687887532,HND,America,AMR,HND,19765.2834030225,0.06921315475075238,0.07769270711399007,0.07265167885526772,0.049408979606848084
Jamaica,266704761,114570915,381275676,JAM,America,AMR,JAM,12886.2019128058,0.008837970534587694,0.005566000246475122,0.007511161261757562,0.03221274770197252
Mexico,104164919428,61636103729,165801023157,MEX,America,AMR,MEX,836184.0762749452,3.451781232515626,2.9943600306184184,3.266293395271895,2.0902812840984613
Nicaragua,1241106629,120432078,1361538707,NIC,America,AMR,NIC,11273.1554957942,0.04112736411699625,0.005850742972869782,0.026822421245676003,0.028180476780380877
Panama,4224603254,8352906954,12577510208,PAN,America,AMR,PAN,36460.508763,0.13999344795789115,0.4057948054682793,0.2477779554017233,0.09114347096338077
Paraguay,524598623,1267410043,1792008666,PRY,America,AMR,PRY,26580.5164330643,0.017383968532002615,0.06157238607829086,0.035302713810657686,0.06644560402204669
Peru,8420877652,3187831980,11608709632,PER,America,AMR,PER,150000.8183314382,0.27904814404023337,0.15486891752938586,0.22869250669657273,0.3749699522555396
Puerto Rico,14233052383,83602561978,97835614361,PRI,America,AMR,PRI,69583.1,0.47164998894863064,4.061518410457834,1.9273694150072007,0.17394286227919856
St. Kitts and Nevis,144016287,41549110,185565397,KNA,America,AMR,KNA,861.9244340741,0.00477236212894874,0.002018508419006883,0.003655653138148427,0.0021546266712927035
St. Lucia Island,114486431,5606326,120092757,LCA,America,AMR,LCA,1594.7082607407,0.003793811928944558,0.00027236242197960876,0.002365836902210526,0.003986429454472707
Trinidad and Tobago,1075522034,664525204,1740047238,TTO,America,AMR,TTO,18278.6379050727,0.03564027882423826,0.032283476563427387,0.03427906952997925,0.045692683938677627
Uruguay,2263163525,1604981120,3868144645,URY,America,AMR,URY,44192.3141257716,0.07499593360803793,0.07797201680293744,0.0762027583747539,0.11047133010426625
Venezuela,1177471338,877640209,2055111547,VEN,America,AMR,VEN,274303.2330019446,0.03901863975561182,0.04263687358707468,0.04048586157491215,0.6856993936860554
Armenia,2436042,31969704,34405746,ARM,Asia-Pacific,APAC,ARM,9465.9816118999,8.072472098470742e-05,0.001553128735541099,0.0006777959434712804,0.023662928726316163
Australia,94441710544,19782950682,114224661226,AUS,Asia-Pacific,APAC,AUS,987167.8585509878,3.1295768845458745,0.9610808150743771,2.250234946899975,2.467708435904491
Azerbaijan,1389766106,19014123,1408780229,AZE,Asia-Pacific,APAC,AZE,27090.2522967973,0.04605359067735832,0.0009237301919471298,0.027753083001273722,0.06771983462033963
Bahrain,726503262,695247257,1421750519,BHR,Asia-Pacific,APAC,BHR,20063.2937047872,0.024074614936618416,0.033775992832239775,0.028008598749941,0.05015394160017175
Bangladesh,1277886068,16906050,1294792118,BGD,Asia-Pacific,APAC,BGD,165285.9150151391,0.04234614850217889,0.0008213173340452133,0.025507508112714294,0.41317942362685267
Brunei,187583305,5874987,193458292,BRN,Asia-Pacific,APAC,BRN,5400.7112882716,0.006216070969841355,0.00028541431383382194,0.003811143799889776,0.01350062270616773
Burma,323916766,15906371,339823137,MMR,Asia-Pacific,APAC,MMR,50112.0814505488,0.0107338422562578,0.0007727516613315408,0.006694542933505501,0.12526948184655168
Cambodia,302352105,15970778,318322883,KHM,Asia-Pacific,APAC,KHM,16279.5619912528,0.010019239945478757,0.0007758806350145625,0.0062709862129274275,0.040695421868387024
China,164914999657,88593913461,253508913118,CHN,Asia-Pacific,APAC,CHN,6182667.931848642,5.464896472845889,4.304004591044086,4.994145830908408,15.455347010805292
Fiji,214764413,133343078,348107491,FJI,Asia-Pacific,APAC,FJI,3960.7901809215,0.007116789167374566,0.006477975714986229,0.006857745368804537,0.00990112801753343
Georgia,182729469,12517303,195246772,GEO,Asia-Pacific,APAC,GEO,12881.597988782,0.006055226223812538,0.0006081064429240509,0.0038463769986984723,0.03220123887695013
Hong Kong,91709474638,46346430070,138055904708,HKG,Asia-Pacific,APAC,HKG,244505.6523559535,3.039036991893675,2.2515683076534914,2.7197123464010935,0.6112118174418388
India,45888215011,35521146678,81409361689,IND,Asia-Pacific,APAC,IND,1594339.066917459,1.5206278681768368,1.7256623215833353,1.6037709257456723,3.9855065489058332
Indonesia,9207162229,8584525993,17791688222,IDN,Asia-Pacific,APAC,IDN,627662.3726493294,0.3051037716086019,0.4170471519138177,0.3504976786254644,1.5690216395012193
Iraq,1621669767,527711460,2149381227,IRQ,Asia-Pacific,APAC,IRQ,132296.5834247191,0.05373833434333665,0.02563689149578448,0.042342981798270646,0.33071315291578585
Israel,6200318876,10077508359,16277827236,ISR,Asia-Pacific,APAC,ISR,246289.9210185995,0.20546403193430768,0.4895781273113609,0.3206744963206763,0.615672107343492
Japan,179713300785,24670537757,204383838542,JPN,Asia-Pacific,APAC,JPN,3720672.027547258,5.955277480072152,1.198525989219304,4.026377939163322,9.300884008814196
Jordan,720500700,330171237,1050671937,JOR,Asia-Pacific,APAC,JOR,38549.0883915493,0.023875704103946644,0.016040137119625833,0.02069832105421323,0.0963644731706393
Kazakhstan,1817478969,176665405,1994144374,KAZ,Asia-Pacific,APAC,KAZ,90844.1620879121,0.06022699225551066,0.00858262926305186,0.03928480339863218,0.2270909685674666
Korea,40711510263,14080679179,54792189442,KOR,Asia-Pacific,APAC,KOR,948007.8450104675,1.3490840087513793,0.6840572389672468,1.0794105071198723,2.3698167805725174
Kuwait,1109030094,439771720,1548801814,KWT,Asia-Pacific,APAC,KWT,77606.5220799548,0.03675065737856484,0.02136466748051011,0.03051151940638521,0.19399970081989965
Lebanon,267226425,44206960,311433385,LBN,Asia-Pacific,APAC,LBN,52179.9006289798,0.008855257256593212,0.002147630140301453,0.006135262552206526,0.13043858737033703
Macau,8502211371,1300456567,9802667938,MAC,Asia-Pacific,APAC,MAC,16700.6787969215,0.28174335281451707,0.06317782809408645,0.19311334111378897,0.0417481237820972
Malaysia,17351934788,21902987519,39254922307,MYS,Asia-Pacific,APAC,MYS,202903.320227489,0.5750024401492825,1.0640748913395301,0.7733251039220272,0.5072148881886872
New Zealand,10489625745,1275926553,11765552298,NZL,Asia-Pacific,APAC,NZL,143744.1046970989,0.34760160600643536,0.06198612892706803,0.23178231974053404,0.35932950683102893
Oman,977082617,1089092601,2066175218,OMN,Asia-Pacific,APAC,OMN,46743.6948452536,0.03237822731969841,0.05290949876415172,0.04070381677703743,0.1168492360197926
Pakistan,2037917783,193620828,2231538611,PAK,Asia-Pacific,APAC,PAK,253456.2163153351,0.0675318177693359,0.0094063452000075,0.043961488823272,0.6335863123135516
Papua-New Guinea,1208939994,235656298,1444596292,PNG,Asia-Pacific,APAC,PNG,16139.2329372869,0.04006143724242187,0.011448481604178643,0.028458662302257687,0.04034462925771345
Philippines,8342419506,10209249892,18551669398,PHL,Asia-Pacific,APAC,PHL,267046.2497875958,0.27644822501386707,0.4959782979406083,0.365469368476553,0.6675584883251858
Qatar,2893442539,787435009,3680877548,QAT,Asia-Pacific,APAC,QAT,68660.0973346154,0.0958819025476812,0.038254590653981776,0.0725135816107261,0.17163555309768283
Saudi Arabia,9659270405,1707518647,11366789052,SAU,Asia-Pacific,APAC,SAU,442690.3310029333,0.3200855766688205,0.08295341981045423,0.22392665195340805,1.1066311112608673
Singapore,134489297863,174698176378,309187474241,SGP,Asia-Pacific,APAC,SGP,149083.6684321459,4.456660043390008,8.487058803525331,6.09101793092005,0.3726772737370203
Sri Lanka,674355893,58298463,732654356,LKA,Asia-Pacific,APAC,LKA,65456.0575116503,0.022346573378791586,0.0028322132142099134,0.014433349315063924,0.16362613906377105
Taiwan,23142493010,8271430812,31413923822,TWN,Asia-Pacific,APAC,TWN,357747.8035802677,0.7668879646257297,0.40183659123516574,0.618856807670074,0.8942929666664503
Thailand,27241311800,18938180845,46179492645,THA,Asia-Pacific,APAC,THA,276437.3309257844,0.9027132103274155,0.9200408258157007,0.9097396925020265,0.6910341818926284
United Arab Emirates,19339638719,9294269844,28633908563,ARE,Asia-Pacific,APAC,ARE,173959.2056623554,0.6408702885813625,0.4515274076541179,0.5640902850857806,0.43486079454243726
Vietnam,5200622455,1836490199,7037112654,VNM,Asia-Pacific,APAC,VNM,154064.4413858542,0.1723364361643515,0.08921902125232348,0.13863168119161304,0.3851281404551004
Albania,20775779,3115111,23890890,ALB,Europe,EUR,ALB,10939.7727699116,0.0006884606107016807,0.0001513360401616533,0.0004706524406684446,0.02734709129490437
Austria,13325350907,3692332996,17017683903,AUT,Europe,EUR,AUT,284465.1076590921,0.44157088998912697,0.1793782162410436,0.335249731737539,0.7111019061350076
Belarus,103140516,55617037,158757553,BLR,Europe,EUR,BLR,33484.223711792,0.003417834904455158,0.0027019461409574673,0.0031275364707635403,0.0837033951293649
Belgium,54072926947,71632254002,125705180949,BEL,Europe,EUR,BEL,354680.9079498587,1.7918500340400707,3.4799856790067576,2.4764021021533864,0.8866263837711077
Bosnia-Herzegovina,81630841,12024842,93655683,BIH,Europe,EUR,BIH,16757.0700899745,0.0027050547008105833,0.0005841820634479911,0.001845024433431327,0.04188908994947497
Bulgaria,1623127369,861445567,2484572936,BGR,Europe,EUR,BGR,41078.7830226474,0.053786635856511195,0.04185011735523716,0.048946285230360334,0.10268816850507433
Croatia,504229094,204778272,709007366,HRV,Europe,EUR,HRV,40863.0475786024,0.01670897009391538,0.009948387969361592,0.013967501723870698,0.10214887605285157
Cyprus,521797926,509819676,1031617602,CYP,Europe,EUR,CYP,16932.0854098941,0.017291159999190907,0.024767685954798096,0.02032294913323983,0.042326590803698556
Czech Republic,8296643199,5644022084,13940665283,CZE,Europe,EUR,CZE,130222.8662809132,0.27493130551482503,0.27419374551259396,0.274632219226065,0.3255293037404682
Denmark,10494193789,5246183446,15740377235,DNK,Europe,EUR,DNK,224007.7286919658,0.34775298027557594,0.25486624029745863,0.3100866883860239,0.5599713939353476
Estonia,269566001,253847345,523413346,EST,Europe,EUR,EST,17125.8854012697,0.008932785320486412,0.012332225720961166,0.010311284710336746,0.04281104931746922
Finland,6007117891,3986343309,9993461200,FIN,Europe,EUR,FIN,187680.760132273,0.1990618042189827,0.19366160984599323,0.19687198360987826,0.4691617449085088
France,115219748226,43797740545,159017488772,FRA,Europe,EUR,FRA,1927495.897145805,3.8181123426739307,2.127749740573543,3.132657226227604,4.81832734357844
Germany,179120251177,119650489647,298770740824,DEU,Europe,EUR,DEU,2519334.624931811,5.935625206369199,5.812772420173751,5.885807450837325,6.2977975356046265
Greece,3808739849,613381185,4422121034,GRC,Europe,EUR,GRC,171027.3596896005,0.1262127096387754,0.029798835305567758,0.08711613747262517,0.42753180689654724
Hungary,8884494156,11978272351,20862766507,HUN,Europe,EUR,HUN,90112.178978652,0.29441130811101107,0.5819196508818328,0.41099816606310735,0.22526116740648455
Iceland,512716488,1211650903,1724367391,ISL,Europe,EUR,ISL,15029.5224345564,0.016990222433791818,0.05886353639350619,0.03397017529205602,0.03757059043009249
Ireland,148843133427,197926461571,346769594998,IRL,Europe,EUR,IRL,138863.5877552906,4.932312503800901,9.615518335418153,6.831388710735212,0.3471292586923249
Italy,70587385091,17965860227,88553245318,ITA,Europe,EUR,ITA,1484708.457118386,2.3391004615318916,0.8728042579708785,1.7445060036703621,3.7114534805334163
Latvia,145638859,330565222,476204081,LVA,Europe,EUR,LVA,22030.5554333433,0.0048261303611785615,0.01605927741022321,0.009381258420214722,0.05507167501413824
Lithuania,317466075,615255248,932721323,LTU,Europe,EUR,LTU,34444.9447120487,0.010520081479089933,0.02988987966110869,0.018374684540151107,0.08610499207799732
Luxembourg,22074829910,57358377260,79433207170,LUX,Europe,EUR,LUX,30035.4722515727,0.7315081124502879,2.7865426575896075,1.5648405239270156,0.07508225435983737
Macedonia,35715852,126900215,162616067,MKD,Europe,EUR,MKD,8788.5868775818,0.0011835396054054505,0.006164973265402882,0.003203549504662795,0.021969586823179517
Malta,1746037425,-594278801,1151758624,MLT,Europe,EUR,MLT,7486.2135228573,0.057859586970168006,-0.02887081728238742,0.02268973685980428,0.018713932086944118
Monaco,150653417,118666186,269319603,MCO,Europe,EUR,MCO,5045.1138246593,0.004992301057501381,0.00576495370159401,0.005305617684054741,0.012611705129343093
Netherlands,93322605783,165217233660,258539839443,NLD,Europe,EUR,NLD,542991.0684034333,3.0924923763213106,8.026462591081671,5.093255481226349,1.3573614948189041
Norway,15319818242,9135095326,24454913568,NOR,Europe,EUR,NOR,257862.2186810971,0.5076628617740913,0.44379450784773555,0.48176374999487515,0.6446003755373739
Poland,19022082719,15998642941,35020725659,POL,Europe,EUR,POL,361720.6119196679,0.6303472271985868,0.7772343491615955,0.6899110918592138,0.9042241375088236
Portugal,6799830417,2289250819,9089081236,PRT,Europe,EUR,PRT,171258.7754759254,0.22533043894795401,0.11121470595567273,0.17905562610506195,0.4281102968495666
