AFFILIATE_COUNTRY_CODE,OTHER_COUNTRY_CODE,AFFILIATE_COUNTRY_NAME,UNRELATED_PARTY_REVENUES,RELATED_PARTY_REVENUES,TOTAL_REVENUES
ABW,ABW,Aruba,297915002.2517882,5839578.827880112,249172354.36173657
ABW,ARE,Aruba,248990.68230223554,76343.5496538623,488152.0651957685
ABW,AUS,Aruba,796712.5786716157,244281.69659715437,1561973.6732714816
ABW,BEL,Aruba,223131.3458389053,68414.76485336192,437454.23031115136
ABW,BRA,Aruba,417223.84028331167,127925.8672369931,817977.1122358156
ABW,CAN,Aruba,846627.0360136218,259586.07191473962,1659832.1361237185
ABW,CHE,Aruba,582207.8450519424,178511.9552130006,1141432.1182922914
ABW,CHN,Aruba,1611260.9785917078,494032.0713492914,3158914.8919000938
ABW,COL,Aruba,232117.85981067966,71170.13854556502,455072.50145957695
ABW,CUW,Aruba,440588.50440817396,135089.7553763776,863784.0835638131
ABW,DEU,Aruba,1220172.674485861,374119.67508015025,2392177.110558363
ABW,DOM,Aruba,428906.9946218654,131508.0634264732,840882.2099914143
ABW,ESP,Aruba,362548.46090034867,111161.73573547661,710784.7501989175
ABW,FRA,Aruba,594213.3599848909,182192.99105309357,1164969.2115444143
ABW,GBR,Aruba,1675040.8543928585,513587.7513856709,3283956.8324353197
ABW,HKG,Aruba,740804.8909244173,227139.7244715471,1452365.3418199958
ABW,IND,Aruba,789334.5218586267,242019.495291293,1547508.8200605472
ABW,IRL,Aruba,396379.9628523959,121534.88273543431,777112.2022700758
ABW,ITA,Aruba,1568814.9433731255,481017.6044328709,3075698.4455666835
ABW,JPN,Aruba,820120.34140704,251458.7992909352,1607865.1404350598
ABW,KOR,Aruba,529785.6156622054,162438.66670526587,1038657.1095965677
ABW,MEX,Aruba,460871.3059800095,141308.70724478236,903548.9911647694
ABW,MYS,Aruba,1552995.1163423874,476167.0544473471,3044683.304097571
ABW,NLD,Aruba,2352692.0469606332,721363.7893861596,4612507.869268092
ABW,NOR,Aruba,255124.72040482974,78224.31980210281,500177.990584158
ABW,OAFR,Aruba,204178.84526163575,62603.69933272801,400297.40897199773
ABW,OAMR,Aruba,205097.58287968303,62885.39537979986,402098.6155933701
ABW,OASIAOCN,Aruba,199734.5562365648,61241.026654680674,391584.2762320269
ABW,PAN,Aruba,218091.19016846488,66869.39226699984,427572.8870549119
ABW,SAU,Aruba,196484.66581104402,60244.57100912686,385212.789924952
ABW,SGP,Aruba,800232.3457914323,245360.89969582928,1568874.2591595151
ABW,THA,Aruba,241065.95363948584,73913.73215802669,472615.44901773153
ABW,TWN,Aruba,230414.10368472373,70647.74634519302,451732.2476645944
ABW,USA,Aruba,21402473.56335125,15517208.27127995,77036681.83422427
ABW,VEN,Aruba,679116.4602638375,208225.30676860583,1331423.7284744203
AGO,AGO,Angola,306048575.99782383,572334601.7549517,2623700082.3467937
AGO,ARE,Angola,795350.5837683502,28699224.369027324,9630864.41897371
AGO,BEL,Angola,223554.76050427463,8066692.0492825005,2707014.532423965
AGO,CHN,Angola,14297016.413635481,515889835.54715896,173121928.22337672
AGO,DEU,Angola,148939.02655709893,5374277.240376869,1803495.9686194488
AGO,ESP,Angola,687007.3816502311,24789796.338290635,8318941.461209243
AGO,FRA,Angola,807351.6468161212,29132267.61826084,9776184.751234008
AGO,GBR,Angola,143897.54916719263,5192361.87661517,1742448.945829244
AGO,IND,Angola,2343000.8269189154,84544234.70712781,28371291.551313642
AGO,ITA,Angola,369501.85152419185,13333009.063022694,4474281.288295016
AGO,JPN,Angola,133233.6494169338,4807568.481315884,1613320.2637508726
AGO,NOR,Angola,169608.927352672,6120124.584584596,2053786.8669709875
AGO,OAFR,Angola,152190.3284911806,5491596.376870821,1842865.837393453
AGO,POL,Angola,150126.0137445205,5417108.178469063,1817869.1430439306
AGO,PRT,Angola,823520.4225481121,29715697.532030847,9971971.728792764
AGO,SGP,Angola,221001.23924053917,7974551.449684512,2676094.0583790685
AGO,THA,Angola,387736.4189374884,13990980.468521493,4695082.844338437
AGO,TWN,Angola,135750.33186283367,4898379.798556973,1643794.6582087665
AGO,URY,Angola,256475.8418699557,9254607.818587909,3105654.424855629
AGO,USA,Angola,624070.0515022464,1322548550.8383234,142031008.39475754
AGO,ZAF,Angola,344531.73666781135,12431993.908940194,4171919.291439999
ALB,ALB,Albania,62139329.9395521,-3562742.466974901,36463782.27257178
ALB,AUT,Albania,361832.4382399737,-150714.36116646588,380684.29690736847
ALB,BEL,Albania,177513.03476091678,-73939.64942128448,186761.65453423216
ALB,BGR,Albania,278966.9483737096,-116198.3309600826,293501.4260153402
ALB,BIH,Albania,170384.44743947755,-70970.37311925892,179261.66015671016
ALB,CAN,Albania,154226.3558291226,-64240.03001743683,162261.71461845725
ALB,CHE,Albania,374998.3468742695,-156198.36784824915,394536.16352268134
ALB,CHN,Albania,1195416.0976259657,-497927.64396186476,1257698.5602785463
ALB,CZE,Albania,377698.9113238,-157323.23616514096,397377.4302806405
ALB,DEU,Albania,2361390.0914267963,-983591.7443592383,2484421.0514996466
ALB,ESP,Albania,1600724.010253699,-666750.8800004465,1684123.4504851867
ALB,FRA,Albania,1146297.4624986832,-477468.2187356848,1206020.7915040457
ALB,GBR,Albania,342001.1427425783,-142454.0154480671,359819.76961426466
ALB,GRC,Albania,2253563.9681944796,-938678.841140657,2370977.071433608
ALB,HUN,Albania,159651.7166254386,-66499.85998318481,167969.74253950443
ALB,IND,Albania,470223.0785387038,-195862.4031400077,494722.2059853142
ALB,ITA,Albania,9204344.216232968,-3833893.0175900194,9683900.436052585
ALB,JPN,Albania,725548.6731966971,-302213.381718678,763350.5383637679
ALB,MKD,Albania,1138788.0457365513,-474340.31523553806,1198120.1260629317
