AFFILIATE_COUNTRY_NAME,UNRELATED_PARTY_REVENUES,RELATED_PARTY_REVENUES,TOTAL_REVENUES,CODE,CONTINENT_NAME,CONTINENT_CODE
United States,11323655145419,3418412407492,14742067552911,USA,America,AMR
Algeria,1669789190,797568863,2467358053,DZA,Africa,AFR
Angola,736205271,2940382378,3676587649,AGO,Africa,AFR
Botswana,322144549,62794177,384938726,BWA,Africa,AFR
Cameroon,90695540,8554728,99250268,CMR,Africa,AFR
Cote D'Ivoire (Ivory Coast),114206912,1093979480,1208186392,CIV,Africa,AFR
Egypt,9657976087,1377951127,11035927214,EGY,Africa,AFR
Ethiopia,282086319,10655026,292741345,ETH,Africa,AFR
Gabon,69996557,5645949,75642506,GAB,Africa,AFR
Ghana,1779525665,1093200416,2872726081,GHA,Africa,AFR
Kenya,863884980,285527867,1149412847,KEN,Africa,AFR
Libya,2147576983,8645594,2156222577,LBY,Africa,AFR
Malawi,47917700,325307486,373225186,MWI,Africa,AFR
Mauritius,-194596451,3195068994,3000472543,MUS,Africa,AFR
Morocco,1971163934,879963289,2851127223,MAR,Africa,AFR
Mozambique,244515905,262280436,506796341,MOZ,Africa,AFR
Namibia,192796518,3466686,196263204,NAM,Africa,AFR
Nigeria,3178472312,5821634689,9000107001,NGA,Africa,AFR
Senegal,218073527,46865258,264938785,SEN,Africa,AFR
South Africa,28522594315,4810082098,33332676413,ZAF,Africa,AFR
Swaziland,349146765,574512503,923659268,SWZ,Africa,AFR
Tanzania,178015654,214824712,392840366,TZA,Africa,AFR
Tunisia,225426321,192049265,417475586,TUN,Africa,AFR
Uganda,279281044,58778559,338059603,UGA,Africa,AFR
Zambia,317136726,50902951,368039677,ZMB,Africa,AFR
Zimbabwe,93162147,295689475,388851622,ZWE,Africa,AFR
Other Africa,1789577114,1519806937,3309384051,OAFR,Africa,AFR
Argentina,27846618621,11148772446,38995391067,ARG,America,AMR
Aruba,385204193,63244063,448448256,ABW,America,AMR
Bahamas,3875238045,6359809373,10235047417,BHS,America,AMR
Barbados,408330435,32599034492,33007364927,BRB,America,AMR
