AFFILIATE_COUNTRY_NAME,UNRELATED_PARTY_REVENUES,RELATED_PARTY_REVENUES,TOTAL_REVENUES,CODE,CONTINENT_NAME,CONTINENT_CODE
Bermuda,15968236047,94097204646,110065440693,BMU,America,AMR
Bolivia,471577895,331143604,802721499,BOL,America,AMR
Brazil,137466661371,33164971119,170631632490,BRA,America,AMR
Canada,363411265010,134928928165,498340193175,CAN,America,AMR
Chile,31214405188,3169858682,34384263870,CHL,America,AMR
Colombia,17786971374,4564334753,22351306126,COL,America,AMR
Costa Rica,6295873662,6570439068,12866312730,CRI,America,AMR
Curacao,167972924,717549609,885522533,CUW,America,AMR
Dominican Republic,2673610615,1769976538,4443587153,DOM,America,AMR
Ecuador,3709888285,944194964,4654083249,ECU,America,AMR
El Salvador,2946878728,1208306002,4155184730,SLV,America,AMR
Guatemala,4327215529,983316436,5310531965,GTM,America,AMR
Honduras,2974405118,1871659039,4846064157,HND,America,AMR
Jamaica,425752504,131085524,556838028,JAM,America,AMR
Mexico,146037511715,102037479766,248074991481,MEX,America,AMR
Nicaragua,1351597525,17143285,1368740810,NIC,America,AMR
Panama,6922711574,3211665692,10134377266,PAN,America,AMR
Paraguay,687004384,1546668364,2233672748,PRY,America,AMR
Peru,11346128062,4256406353,15602534415,PER,America,AMR
Puerto Rico,17947300190,95064894175,113012194365,PRI,America,AMR
St. Kitts and Nevis,125003401,77555438,202558839,KNA,America,AMR
St. Lucia Island,123213342,5263728,128477070,LCA,America,AMR
Trinidad and Tobago,1433132534,747435361,2180567895,TTO,America,AMR
Uruguay,3692132819,1341091507,5033224326,URY,America,AMR
Venezuela,815024534,33070845,848095379,VEN,America,AMR
Virgin Islands,1672917326,121019020,1793936346,VIR,America,AMR
Other Americas,544423470,121176736,665600206,OAMR,America,AMR
Armenia,28336426,45262698,73599124,ARM,Asia-Pacific,APAC
Australia,139726948694,24820875776,164547824470,AUS,Asia-Pacific,APAC
Azerbaijan,866631283,61115769,927747052,AZE,Asia-Pacific,APAC
Bahrain,1688860396,450680603,2139540999,BHR,Asia-Pacific,APAC
Bangladesh,1366111367,28850175,1394961542,BGD,Asia-Pacific,APAC
Brunei,154656502,6056252,160712754,BRN,Asia-Pacific,APAC
Burma,332920374,18264010,351184384,MMR,Asia-Pacific,APAC
Cambodia,430365870,46288000,476653870,KHM,Asia-Pacific,APAC
China,259181987128,177815387847,436997374975,CHN,Asia-Pacific,APAC
Fiji,58919443,202072325,260991768,FJI,Asia-Pacific,APAC
Georgia,196197354,4664356,200861710,GEO,Asia-Pacific,APAC
Guam,553032651,7735702,560768353,GUM,Asia-Pacific,APAC
Hong Kong,128448201609,57949840936,186398042545,HKG,Asia-Pacific,APAC
India,69146401357,51187102213,120333503569,IND,Asia-Pacific,APAC
Indonesia,19622838707,8875241701,28498080408,IDN,Asia-Pacific,APAC
Iraq,1472932670,119078157,1592010827,IRQ,Asia-Pacific,APAC
Israel,9210539612,16464081465,25674621076,ISR,Asia-Pacific,APAC
Japan,230409394838,30221498210,260630893048,JPN,Asia-Pacific,APAC
Jordan,476335002,422992899,899327901,JOR,Asia-Pacific,APAC
Kazakhstan,2197396265,121830226,2319226491,KAZ,Asia-Pacific,APAC
Korea,64900086913,23141213440,88041300352,KOR,Asia-Pacific,APAC
Kuwait,972489794,507079608,1479569402,KWT,Asia-Pacific,APAC
Lebanon,195292800,70727495,266020295,LBN,Asia-Pacific,APAC
Macau,18447464848,9979680808,28427145656,MAC,Asia-Pacific,APAC
Malaysia,23537032169,26522479315,50059511484,MYS,Asia-Pacific,APAC
New Zealand,10659873250,1958459503,12618332753,NZL,Asia-Pacific,APAC
Oman,1415609890,1395112049,2810721939,OMN,Asia-Pacific,APAC
Pakistan,2372756634,299152305,2671908939,PAK,Asia-Pacific,APAC
Papua-New Guinea,166862474,19826185,186688659,PNG,Asia-Pacific,APAC
Qatar,3666646614,151083336,3817729950,QAT,Asia-Pacific,APAC
Philippines,12966846765,13524332355,26491179120,PHL,Asia-Pacific,APAC
Saudi Arabia,10878077709,2831412929,13709490638,SAU,Asia-Pacific,APAC
Singapore,265102249145,331452753267,596555002412,SGP,Asia-Pacific,APAC
Sri Lanka,294059838,121432344,415492182,LKA,Asia-Pacific,APAC
Taiwan,34476028891,18493887666,52969916556,TWN,Asia-Pacific,APAC
Thailand,32557371494,22936341032,55493712526,THA,Asia-Pacific,APAC
United Arab Emirates,64676294880,9782574425,74458869305,ARE,Asia-Pacific,APAC
Vietnam,7105607289,2561477969,9667085258,VNM,Asia-Pacific,APAC
Other Asia and Oceania,739138188,248971321,988109509,OASIAOCN,Asia-Pacific,APAC
Albania,75382007,1149964,76531971,ALB,Europe,EUR
Austria,16943848564,4715713654,21659562218,AUT,Europe,EUR
Belarus,112314691,74998557,187313248,BLR,Europe,EUR
Belgium,52700932501,90491566448,143192498949,BEL,Europe,EUR
Bosnia-Herzegovina,139638343,28331793,167970136,BIH,Europe,EUR
Bulgaria,2079259428,1396447018,3475706446,BGR,Europe,EUR
Croatia,849312353,353139315,1202451668,HRV,Europe,EUR
Cyprus,196915659,1209133205,1406048864,CYP,Europe,EUR
Czech Republic,12410722035,8389346948,20800068983,CZE,Europe,EUR
Denmark,13208420806,7327182679,20535603485,DNK,Europe,EUR
Estonia,343085997,355931998,699017995,EST,Europe,EUR
Finland,8745065213,4554875972,13299941185,FIN,Europe,EUR
France,142694075008,60403796491,203097871500,FRA,Europe,EUR
Germany,236383497411,124899147144,361282644556,DEU,Europe,EUR
Gibraltar,355987262,491888753,847876015,GIB,Europe,EUR
Greece,4671409819,962080287,5633490106,GRC,Europe,EUR
Guernsey,269461815,270431025,539892840,GGY,Europe,EUR
Hungary,10667259233,7653948141,18321207374,HUN,Europe,EUR
Iceland,293869444,1725874825,2019744269,ISL,Europe,EUR
Ireland,308559353545,382431335239,690990688784,IRL,Europe,EUR
Isle of Man,2103000237,22884037510,24987037746,IMN,Europe,EUR
Italy,81811797660,25749508961,107561306621,ITA,Europe,EUR
Jersey,5529605011,14053791074,19583396085,JEY,Europe,EUR
Latvia,233306932,217244117,450551049,LVA,Europe,EUR
Lithuania,603036583,1066974472,1670011055,LTU,Europe,EUR
Luxembourg,36465442910,92369817267,128835260177,LUX,Europe,EUR
Macedonia,58669613,271554204,330223817,MKD,Europe,EUR
Malta,2696465141,-410296113,2286169028,MLT,Europe,EUR
Moldova,43598135,111333156,154931291,MDA,Europe,EUR
Monaco,248804421,357631713,606436134,MCO,Europe,EUR
Netherlands,150048268646,247032136148,397080404794,NLD,Europe,EUR
Norway,16983973665,7500973029,24484946694,NOR,Europe,EUR
Poland,28978271109,20128263111,49106534219,POL,Europe,EUR
Portugal,9040280962,2503113467,11543394428,PRT,Europe,EUR
Romania,7313881619,7818834171,15132715790,ROU,Europe,EUR
Russia,43684391763,9780278932,53464670695,RUS,Asia-Pacific,APAC
Serbia,1102566322,620069443,1722635765,SRB,Europe,EUR
Slovakia,6888032102,3498213061,10386245163,SVK,Europe,EUR
Slovenia,1073422575,352120547,1425543122,SVN,Europe,EUR
Spain,66231259749,28441186939,94672446688,ESP,Europe,EUR
Sweden,23230060365,15192040249,38422100614,SWE,Europe,EUR
Switzerland,208479564231,306489120259,514968684490,CHE,Europe,EUR
Turkey,24125485711,4247704046,28373189757,TUR,Asia-Pacific,APAC
Ukraine,3859464131,2749774578,6609238709,UKR,Europe,EUR
United Kingdom,556599758576,181240310436,737840069013,GBR,Europe,EUR
Other Europe,251994324,-71704390,180289934,OEUR,Europe,EUR
"United Kingdom Islands, Caribbean",17006238308,65518901068,82525139376,UKI,America,AMR
