AFFILIATE_COUNTRY_CODE,AFFILIATE_COUNTRY_NAME,UNRELATED_PARTY_REVENUES,RELATED_PARTY_REVENUES,TOTAL_REVENUES,COUNTRY_CODE,CONS_2017_x,SHARE_OF_UNRELATED_PARTY_REVENUES,SHARE_OF_RELATED_PARTY_REVENUES,SHARE_OF_TOTAL_REVENUES,CONS_2017_y,SHARE_OF_CONS_2017
ABW,Aruba,380916916.0,169011203.0,549928119.0,ABW,2416.9106145251,0.002799148105658391,0.0025378916727928687,0.0027131812862743435,2416.9106145251,0.004059608092709611
AFG,Afghanistan,162176991.0,5607066.0,167784056.0,AFG,17932.9562962523,0.0011917491664744759,8.419634827520885e-05,0.0008277964794784507,17932.9562962523,0.030121417841833708
AGO,Angola,3954168991.977,6712063560.25,10666232581.227001,AGO,85631.1940353788,0.029057004765169234,0.10078911879477558,0.05262400963794831,85631.1940353788,0.14383200032522367
ALB,Albania,244869795.34600002,43985329.842999995,288855127.189,ALB,11861.8108936773,0.0017994129296576417,0.0006604887744251921,0.0014251250271739427,11861.8108936773,0.01992390749114454
AND,Andorra,114167835.0,5443764.0,119611599.0,AND,2309.5976650632,0.0008389563856160425,8.174418665163634e-05,0.0005901279473002379,2309.5976650632,0.0038793579355586123
ARE,United Arab Emirates,81272200541.132,44309685575.416,125582066475.937,ARE,194803.4791281144,0.5972245301581685,0.665359337427582,0.6195844527349453,194803.4791281144,0.32720522455559276
ARG,Argentina,106993338648.826,24868971218.957,131867452762.995,ARG,543457.079921875,0.7862349730798723,0.37343533355902153,0.6505946736381087,543457.079921875,0.9128276182132121
ARM,Armenia,159262098.16799998,50342779.682,209606005.637,ARM,10645.4403982933,0.001170329228408795,0.0007559529727753835,0.001034133502791522,10645.4403982933,0.01788080855437879
ATG,Antigua and Barbuda,0.0,0.0,0.0,ATG,1105.4584922222,0.0,0.0,0.0,1105.4584922222,0.0018568035632801436
AUS,Australia,323357177236.469,63704811173.956,387058798505.0,AUS,1063863.887697721,2.37617336509284,0.9565987752612177,1.9096326456287245,1063863.887697721,1.786938425477433
AUT,Austria,104454351613.175,38967430370.192,143419966380.792,AUT,300421.3343858593,0.7675773591682504,0.5851394185191748,0.7075913295178499,300421.3343858593,0.5046081857417358
AZE,Azerbaijan,2889269887.1029997,25108094.692,2914377980.795,AZE,28168.4715037016,0.02123164919045022,0.0003770260391467756,0.01437867154893202,28168.4715037016,0.04731368805633565
BDI,Burundi,924669.0,0.0,924669.0,BDI,3425.022338792,6.79488195717472e-06,0.0,4.56204100157681e-06,3425.022338792,0.005752901377779441
BEL,Belgium,219112956219.854,216291241113.133,435404266378.98596,BEL,374582.8476014124,1.6101401396624093,3.247854165732758,2.1481547618471097,374582.8476014124,0.6291749270221563
BEN,Benin,438082707.494,27695215.413,465777922.908,BEN,10555.709206588,0.0032192279452444407,0.0004158745415998099,0.0022980093221851047,10555.709206588,0.017730089918022895
BFA,Burkina Faso,1689174988.699,194472898.447,1883646761.3569999,BFA,11892.4700434489,0.012412814372734077,0.002920227421566454,0.00929335119680448,11892.4700434489,0.019975404692480984
BGD,Bangladesh,3884612442.469,201720885.43400002,4086343242.903,BGD,183416.3463266789,0.02854587208606434,0.0030290640282073667,0.020160798535086427,183416.3463266789,0.30807861879878456
BGR,Bulgaria,10376588874.153,5332574387.877,15709165429.029999,BGR,44922.4844541548,0.07625182256353588,0.08007455064112862,0.07750433591673107,44922.4844541548,0.0754548721573396
BHR,Bahrain,3307411921.0959997,2144887169.9650002,5452289174.061,BHR,20832.0725292553,0.02430434413568508,0.03220787256176407,0.026899968274614636,20832.0725292553,0.03499097141591875
BHS,Bahamas,1803742934.313,1732696484.9520001,3536438292.477,BHS,9844.6347,0.013254710950345248,0.026018369803788428,0.017447731555644625,9844.6347,0.01653572062520925
BIH,Bosnia and Herzegovina,1312235125.395,250968425.921,1563203555.316,BIH,17488.4189956358,0.00964289143154728,0.003768570763198697,0.007712380011833678,17488.4189956358,0.02937474263909824
BLR,Belarus,1051536353.8659999,500831514.227,1552367868.093,BLR,38367.3499769278,0.007727160095339386,0.007520543649576571,0.00765891996354441,38367.3499769278,0.06444442071051215
BLZ,Belize,3605549.0,8523071.0,12128620.0,BLZ,1641.102719,2.6495188922532667e-05,0.00012798341490724961,5.983899290723981e-05,1641.102719,0.0027565081798977546
BMU,Bermuda,25017833847.322,98071064807.894,123088898656.216,BMU,4343.386,0.18384224821721423,1.472646394439805,0.6072839064666277,4343.386,0.007295447688215908
BOL,Bolivia,1887598793.915,2022579228.229,3910178019.144,BOL,31760.8538350217,0.013870921364464252,0.03037128243437334,0.01929165187412936,31760.8538350217,0.05334769870475992
BRA,Brazil,431647714355.824,70375319424.935,501961936587.75903,BRA,1746894.289715306,3.171940733529615,1.0567638947501057,2.476530451376931,1746894.289715306,2.9342029254275577
BRB,Barbados,911070250.394,23965986216.721,24877056468.115,BRB,4411.22,0.006694952254396812,0.3598760068566869,0.1227359753664092,4411.22,0.007409386306262389
BRN,Brunei Darussalam,401704365.71599996,28587115.785,430291481.501,BRN,5694.51850059,0.002951903596553971,0.00042926742021898444,0.0021229298064894477,5694.51850059,0.009564902090358082
