PARENT_COUNTRY_CODE,PARENT_COUNTRY_NAME,AFFILIATE_COUNTRY_CODE,AFFILIATE_COUNTRY_NAME,RELATED_PARTY_REVENUES,TOTAL_REVENUES,UNRELATED_PARTY_REVENUES,NB_AFFILIATE_COUNTRIES,CONTINENT_CODE
BEL,Belgium,CHE,Switzerland,1655264745.0,12538979025.0,10883714280.0,44,EUR
BEL,Belgium,CHL,Chile,169421735.833,1197460877.5,1028039141.667,44,AMR
BEL,Belgium,CHN,China (People's Republic of),4471582953.333,12599953144.167,8128370190.833,44,APAC
BEL,Belgium,COL,Colombia,310403637.5,1142462443.333,832058805.833,44,AMR
BEL,Belgium,CZE,Czech Republic,593474049.167,3604334002.5,3010859953.333,44,EUR
BEL,Belgium,DEU,Germany,6559088913.333,21622241546.667,15063263294.167,44,EUR
BEL,Belgium,DNK,Denmark,36407414.167,335855629.167,299448215.0,44,EUR
BEL,Belgium,ESP,Spain,869019524.167,2600418922.5,1731399398.333,44,EUR
BEL,Belgium,FRA,France,7842201275.833,19257751520.833,11415550245.0,44,EUR
BEL,Belgium,GBR,United Kingdom,55658194055.0,65493507600.0,9835313545.0,44,EUR
BEL,Belgium,GRC,Greece,1125199353.333,4558009064.167,3432809710.833,44,EUR
BEL,Belgium,HKG,"Hong Kong, China",147068247.5,516454109.167,369385861.667,44,APAC
BEL,Belgium,HUN,Hungary,67613769.167,1029809715.0,962195945.833,44,EUR
BEL,Belgium,IND,India,151162698.333,1110813445.0,959650746.667,44,APAC
BEL,Belgium,IRL,Ireland,-1082816254.167,192992493.333,1275919408.333,44,EUR
BEL,Belgium,ITA,Italy,1214723967.5,4891983459.167,3677259491.667,44,EUR
BEL,Belgium,JPN,Japan,197861570.0,1442574623.333,1244602392.5,44,APAC
BEL,Belgium,LUX,Luxembourg,32740114150.0,40887407343.333,8147403854.167,44,EUR
BEL,Belgium,MEX,Mexico,5864360201.667,13771962030.0,7907601828.333,44,AMR
BEL,Belgium,MYS,Malaysia,51346626.667,248322910.0,196865622.5,44,APAC
BEL,Belgium,NLD,Netherlands,50210139908.333,57144701029.166,6934561120.833,44,EUR
BEL,Belgium,NOR,Norway,91295187.5,385874325.833,294579138.333,44,EUR
BEL,Belgium,OAFR,Other Africa,188898042.5,1617861383.333,1428963340.833,44,AFR
BEL,Belgium,OAMR,Other Americas,1055151045.833,4275713278.333,3220451571.667,44,AMR
BEL,Belgium,OASIAOCN,Other Asia,630434767.5,6274247928.333,5643813160.833,44,APAC
BEL,Belgium,OEUR,Other Europe,844784801.667,2608054520.0,1763269718.333,44,EUR
BEL,Belgium,PER,Peru,89413953.333,919259542.5,829845589.167,44,AMR
BEL,Belgium,POL,Poland,247880266.667,1200227398.333,952347131.667,44,EUR
BEL,Belgium,PRT,Portugal,77462583.333,2335939530.833,2258476947.5,44,EUR
BEL,Belgium,ROU,Romania,78458530.833,1021620813.333,943162282.5,44,EUR
BEL,Belgium,RUS,Russia,112210085.0,1376952749.167,1264742664.167,44,APAC
BEL,Belgium,SGP,Singapore,222870918.333,1335233615.0,1112252035.833,44,APAC
BEL,Belgium,SVK,Slovak Republic,112320745.833,822099330.833,709778585.0,44,EUR
BEL,Belgium,SWE,Sweden,43047064.167,235264931.667,192107206.667,44,EUR
BEL,Belgium,TUR,Turkey,68499055.833,540467510.0,471968454.167,44,APAC
BEL,Belgium,UKR,Ukraine,43268385.833,252196039.167,208927653.333,44,EUR
BEL,Belgium,USA,United States,14546809185.0,74866480183.333,60319781659.166,44,AMR
BEL,Belgium,ZAF,South Africa,258503706.667,1837633798.333,1579130091.667,44,AFR
BMU,Bermuda,ARE,United Arab Emirates,95221443.0,229605465.0,134384022.0,72,APAC
BMU,Bermuda,ARG,Argentina,2834920008.0,3784784816.0,949864808.0,72,AMR
BMU,Bermuda,AUS,Australia,524356225.0,997338911.48,472982683.48,72,APAC
BMU,Bermuda,AUT,Austria,4518243474.36,6394849385.68,1876606913.32,72,EUR
BMU,Bermuda,BEL,Belgium,829764009.0,1197888432.0,368125423.0,72,EUR
BMU,Bermuda,BGR,Bulgaria,19963839.48,159573070.16,139609230.68,72,EUR
BMU,Bermuda,BHS,Bahamas,229394803.62,229581244.62,186441.0,72,AMR
BMU,Bermuda,BMU,Bermuda,18731220510.889,29720006552.79,11032456527.26,72,AMR
BMU,Bermuda,BOL,Bolivia,42940114.04,2111373042.18,2068432929.14,72,AMR
BMU,Bermuda,BRA,Brazil,5101797340.0,10702952521.0,5601155184.0,72,AMR
BMU,Bermuda,BRB,Barbados,188075317.0,260714938.0,72639620.0,72,AMR
BMU,Bermuda,CAN,Canada,646392914.03,5031524189.26,4385131275.23,72,AMR
BMU,Bermuda,CHE,Switzerland,24236943626.0,35111057068.0,10874114441.0,72,EUR
BMU,Bermuda,CHL,Chile,110799736.12,707190730.22,596390994.1,72,AMR
BMU,Bermuda,CHN,China (People's Republic of),239451329665.0,508099498561.48,268648287092.48,72,APAC
BMU,Bermuda,COL,Colombia,23973100.3,1466685261.3,1442712161.0,72,AMR
BMU,Bermuda,CYP,Cyprus,132502777.0,1250829144.0,1118326367.0,72,EUR
BMU,Bermuda,CZE,Czech Republic,20552887.0,93400706.0,72847818.0,72,EUR
BMU,Bermuda,DEU,Germany,4219879192.76,15311354771.96,11091475580.2,72,EUR
BMU,Bermuda,DNK,Denmark,14513051.52,857821276.72,843308232.96,72,EUR
