UNRELATED_PARTY_REVENUES,RELATED_PARTY_REVENUES,TOTAL_REVENUES,COUNTRY_CODE,COUNTRY_NAME,CONS_2018,SHARE_OF_UNRELATED_PARTY_REVENUES,SHARE_OF_RELATED_PARTY_REVENUES,SHARE_OF_TOTAL_REVENUES,SHARE_OF_CONS_2018
338889405.24117315,15500901.059028605,310554744.7610674,ABW,Aruba,2537.7877094972,0.005957235524672872,0.0006018966275850936,0.003679195200751949,0.005634625931212882
737804763.6612582,697814530.724069,3241464233.73503,AGO,Angola,67740.4436980213,0.012969649332140641,0.027095986944452678,0.03840218142969462,0.15040346330952953
76725416.0586274,17567511.0638758,58892586.862149276,ALB,Albania,13700.5407866776,0.0013487331475130753,0.0006821426460400422,0.0006977105537698117,0.030419180493055545
86123133995.22893,25842891389.207397,109220101818.32098,ARE,United Arab Emirates,211618.507375902,1.5139328211438765,1.0034738700013712,1.2939492350850168,0.46985456061691816
37691174133.47067,5778871225.308548,43730608233.0829,ARG,Argentina,425623.1344145022,0.6625618801943679,0.2243923168412073,0.518083998558481,0.9450070000422571
23891610.095468923,10086772.575135574,48323386.93594534,ARM,Armenia,11372.5525425173,0.0004199834701266974,0.0003916671923181977,0.0005724954337297191,0.025250370320709314
164631055367.97742,43477272084.76386,206509861251.11087,AUS,Australia,1083879.882465238,2.8940000965935964,1.688213049342489,2.446557662506816,2.406528201394987
25237705542.91565,19854479189.88883,41237612117.46419,AUT,Austria,324284.2744768782,0.44364607950636586,0.770945122567049,0.48854904699580404,0.7200052924891784
751799681.7325627,43488883.73091796,632679089.6535991,AZE,Azerbaijan,30437.9957059244,0.013215661812347656,0.0016886639270452916,0.007495457433955946,0.06758119257056683
88879882864.9489,89436645809.82466,175354892166.099,BEL,Belgium,406763.6018251762,1.5623928852394486,3.472805567267418,2.077459412775225,0.9031333590829728
3372721725.1884055,3963580390.2730446,6597966074.734757,BGD,Bangladesh,208058.6944322472,0.059288066742097335,0.15390496726499697,0.07816723307694105,0.46195074177205553
1708214150.8354285,616493852.3421887,2305843917.8540382,BGR,Bulgaria,50597.9431215267,0.03002818579077067,0.02393832263290116,0.027317727451817694,0.11234213220895238
1494259115.853129,153436701.02507204,1573319676.1338391,BHR,Bahrain,21616.545143617,0.02626713420471675,0.00595791383630447,0.01863938741664948,0.04799500972978947
3408247677.016644,1429287890.5577118,7068442230.451439,BHS,Bahamas,10014.359576,0.0599125668268031,0.05549893892612268,0.08374104459771754,0.022234787385978515
136251478.5576348,48132300.644012176,169871853.77706972,BIH,Bosnia and Herzegovina,19037.1668084088,0.002395124001516384,0.001868966799105436,0.0020125009187680703,0.042268040527604966
220976068.3953982,507857798.6710969,651840007.2803932,BLR,Belarus,41597.1585968845,0.003884472233089665,0.019720008220740076,0.00772246010373883,0.0923577758760672
9282010187.443073,7340018396.17951,35823686649.09599,BMU,Bermuda,4368.343,0.16316568170568863,0.28501132303529797,0.42440934558575455,0.009698990444361845
590375845.8366877,342870203.62935746,1082077549.057415,BOL,Bolivia (Plurinational State of),34057.5748885673,0.01037804046787537,0.013313575673958744,0.0128195578798723,0.07561770982781163
173603151054.85583,46336841858.99172,213044055217.43457,BRA,Brazil,1620022.966187616,3.051717883960242,1.7992495237317965,2.5239693765032536,3.5969215944582236
369312458.2717091,7348892098.735448,638957184.8400683,BRB,Barbados,4388.765,0.0064920332772126325,0.28535588698175973,0.007569835101885936,0.009744333216862713
125925314.29467896,1184106.064871563,101890369.41552593,BRN,Brunei Darussalam,5925.2494560186,0.0022136034475258863,4.59785817892262e-05,0.0012071126411057243,0.013155775051177212
392423876.42090553,53620690.70630455,455625187.9504822,BWA,Botswana,12624.1957561661,0.006898301986398099,0.002082079795361948,0.005397869564475164,0.028029381851839095
545716578960.2148,127331008487.16049,673856877380.8065,CAN,Canada,1354556.146365925,9.592988568855283,4.944235454673216,7.98329773116372,3.0075081375145474
152732029482.98392,73464778330.20117,252911214699.9008,CHE,Switzerland,462303.415540368,2.6848306784448073,2.8526214156743714,2.9962824366316805,1.026447879601458
38234716084.01593,7774589481.861454,46077197617.12682,CHL,Chile,232463.0357603209,0.6721166416205442,0.3018856240789527,0.5458844445202784,0.5161354688738266
501711994853.77747,252822969250.7399,797107094756.0503,CHN,China,7650215.780302177,8.81944514249539,9.8170610849384,9.443464145969307,16.98570138619083
111163160.98402628,266513905.99894792,1046899045.3014139,CIV,Côte d'Ivoire,46162.8652272669,0.0019541039684545266,0.010348677190727778,0.01240279212641942,0.10249497091314151
