AFFILIATE_COUNTRY_NAME,UNRELATED_PARTY_REVENUES,RELATED_PARTY_REVENUES,TOTAL_REVENUES,CODE,CONTINENT_NAME,CONTINENT_CODE
Japan,241347900399,28936583280,270284483679,JPN,Asia-Pacific,APAC
Jordan,482341052,568005231,1050346283,JOR,Asia-Pacific,APAC
Kazakhstan,2502038632,-60168827,2441869805,KAZ,Asia-Pacific,APAC
Korea,65581774798,16978003838,82559778636,KOR,Asia-Pacific,APAC
Kuwait,1381105336,356062415,1737167751,KWT,Asia-Pacific,APAC
Lebanon,146601763,72838839,219440602,LBN,Asia-Pacific,APAC
Macau,18508650372,4196697182,22705347554,MAC,Asia-Pacific,APAC
Malaysia,21902776292,33334990924,55237767217,MYS,Asia-Pacific,APAC
New Zealand,11010378277,1493329243,12503707519,NZL,Asia-Pacific,APAC
Oman,1528103008,1474272519,3002375527,OMN,Asia-Pacific,APAC
Pakistan,2132826280,159395583,2292221863,PAK,Asia-Pacific,APAC
Papua New Guinea,170200862,-8952187,161248675,PNG,Asia-Pacific,APAC
Philippines,13693397098,13994498355,27687895453,PHL,Asia-Pacific,APAC
Qatar,2852768122,25358377,2878126499,QAT,Asia-Pacific,APAC
Saudi Arabia,13597935181,1287994480,14885929661,SAU,Asia-Pacific,APAC
Singapore,242955221538,300867650313,543822871851,SGP,Asia-Pacific,APAC
Sri Lanka,322381305,139797520,462178825,LKA,Asia-Pacific,APAC
Taiwan,34294510126,21202275228,55496785353,TWN,Asia-Pacific,APAC
Thailand,31497147537,23275316629,54772464166,THA,Asia-Pacific,APAC
United Arab Emirates,60098226191,10209344388,70307570579,ARE,Asia-Pacific,APAC
Vietnam,8554422902,4253136615,12807559517,VNM,Asia-Pacific,APAC
Other Asia and Oceania,801065472,183592422,984657894,OASIAOCN,Asia-Pacific,APAC
Albania,91037049,-19333305,71703744,ALB,Europe,EUR
Austria,16360639212,4740765758,21101404970,AUT,Europe,EUR
Belarus,148639187,60407165,209046352,BLR,Europe,EUR
Belgium,50313592721,109280120614,159593713334,BEL,Europe,EUR
Bosnia-Herzegovina,153927589,21677751,175605340,BIH,Europe,EUR
Bulgaria,1915210983,1428891173,3344102156,BGR,Europe,EUR
Croatia,765056329,354206142,1119262471,HRV,Europe,EUR
Cyprus,524329286,1431253064,1955582350,CYP,Europe,EUR
Czech Republic,11728029373,8533396581,20261425954,CZE,Europe,EUR
Denmark,13482945323,6487901195,19970846518,DNK,Europe,EUR
Estonia,459388849,353040288,812429137,EST,Europe,EUR
Finland,8619826903,3866729631,12486556534,FIN,Europe,EUR
France,142558938666,50254888546,192813827212,FRA,Europe,EUR
Germany,236155546305,111430433732,347585980038,DEU,Europe,EUR
Gibraltar,367589247,246826751,614415998,GIB,Europe,EUR
Greece,4888057840,946996539,5835054379,GRC,Europe,EUR
Guernsey,245145907,249102264,494248171,GGY,Europe,EUR
Hungary,9692172350,7615440427,17307612777,HUN,Europe,EUR
Iceland,198433393,1453170375,1651603768,ISL,Europe,EUR
Ireland,321883268037,414108392086,735991660122,IRL,Europe,EUR
Isle of Man,1716543489,9415633760,11132177249,IMN,Europe,EUR
Italy,82767105605,20870889028,103637994632,ITA,Europe,EUR
Jersey,5963256046,5551750090,11515006136,JEY,Europe,EUR
Latvia,213362463,242477297,455839760,LVA,Europe,EUR
Lithuania,650795496,1088774851,1739570347,LTU,Europe,EUR
Luxembourg,38089713166,91617297253,129707010419,LUX,Europe,EUR
Macedonia,55341843,266207153,321548996,MKD,Europe,EUR
Malta,2439904877,215165290,2655070167,MLT,Europe,EUR
Moldova,27074262,115016023,142090285,MDA,Europe,EUR
Monaco,204879780,278640455,483520235,MCO,Europe,EUR
Netherlands,133172693564,274805901621,407978595185,NLD,Europe,EUR
Norway,17146831988,6982728172,24129560160,NOR,Europe,EUR
Poland,27807974239,17109329440,44917303679,POL,Europe,EUR
Portugal,8707035994,3061529109,11768565103,PRT,Europe,EUR
Romania,7185245795,7072121571,14257367366,ROU,Europe,EUR
Russia,43512935127,9636371204,53149306331,RUS,Asia-Pacific,APAC
Serbia,972493152,642679766,1615172918,SRB,Europe,EUR
Slovakia,5532043058,3126719015,8658762073,SVK,Europe,EUR
Slovenia,1101743881,422779194,1524523075,SVN,Europe,EUR
Spain,64502659515,28366939060,92869598575,ESP,Europe,EUR
Sweden,23570886000,16411121601,39982007601,SWE,Europe,EUR
Switzerland,216564077903,324673292637,541237370540,CHE,Europe,EUR
Turkey,21384656509,3825910524,25210567033,TUR,Asia-Pacific,APAC
Ukraine,4019010244,2858488102,6877498346,UKR,Europe,EUR
United Kingdom,549509072458,187569174175,737078246632,GBR,Europe,EUR
Other Europe,200983552,-71934182,129049370,OEUR,Europe,EUR
"United Kingdom Islands, Caribbean",19742379931,60704925325,80447305256,UKI,America,AMR
