AFFILIATE_COUNTRY_NAME,UNRELATED_PARTY_REVENUES,RELATED_PARTY_REVENUES,TOTAL_REVENUES,CODE,CONTINENT_NAME,CONTINENT_CODE
United States,11679730841870,3496628029007,15176358870877,USA,America,AMR
Algeria,1802398204,716469264,2518867468,DZA,Africa,AFR
Angola,329262441,2710007460,3039269901,AGO,Africa,AFR
Botswana,402780360,68636024,471416384,BWA,Africa,AFR
Cameroon,78546669,30923625,109470294,CMR,Africa,AFR
Cote D'Ivoire (Ivory Coast),206618307,905407621,1112025928,CIV,Africa,AFR
Egypt,10151033393,1777585557,11928618950,EGY,Africa,AFR
Ethiopia,353894605,14367901,368262506,ETH,Africa,AFR
Gabon,81922011,141187814,223109825,GAB,Africa,AFR
Ghana,2827421441,895415955,3722837396,GHA,Africa,AFR
Kenya,885662059,327691069,1213353128,KEN,Africa,AFR
Libya,1703483889,159076601,1862560490,LBY,Africa,AFR
Malawi,40017305,256035979,296053284,MWI,Africa,AFR
Mauritius,561135644,1620673278,2181808922,MUS,Africa,AFR
Morocco,1900418613,873527342,2773945955,MAR,Africa,AFR
Mozambique,248098337,206235177,454333514,MOZ,Africa,AFR
Namibia,191103934,4293257,195397191,NAM,Africa,AFR
Nigeria,3341730268,4681305830,8023036098,NGA,Africa,AFR
Senegal,227485728,37405591,264891319,SEN,Africa,AFR
South Africa,23086129128,11424983413,34511112541,ZAF,Africa,AFR
Swaziland,366383337,638578876,1004962213,SWZ,Africa,AFR
Tanzania,168355490,150931535,319287025,TZA,Africa,AFR
Tunisia,244813018,275489773,520302791,TUN,Africa,AFR
Uganda,223367765,66209144,289576909,UGA,Africa,AFR
Zambia,322388870,64375564,386764434,ZMB,Africa,AFR
Zimbabwe,54388932,263840365,318229297,ZWE,Africa,AFR
Other Africa,1738271762,1628524298,3366796060,OAFR,Africa,AFR
Argentina,22766566482,10153377411,32919943894,ARG,America,AMR
Aruba,341438558,28139378,369577936,ABW,America,AMR
Barbados,780724111,29660566207,30441290318,BRB,America,AMR
Bermuda,12876593188,70287507600,83164100788,BMU,America,AMR
Bolivia,388458420,74751244,463209664,BOL,America,AMR
Brazil,127477488908,30055092070,157532580979,BRA,America,AMR
Canada,380754602341,111926925975,492681528316,CAN,America,AMR
Chile,30232296146,4854829169,35087125315,CHL,America,AMR
Colombia,17370396576,4255469783,21625866359,COL,America,AMR
Costa Rica,7409797011,7938280555,15348077566,CRI,America,AMR
Curacao,194941173,2159814078,2354755251,CUW,America,AMR
Dominican Republic,3371304070,1402585923,4773889993,DOM,America,AMR
Ecuador,3491623787,836501123,4328124910,ECU,America,AMR
El Salvador,3622471207,701866224,4324337431,SLV,America,AMR
Guatemala,4132894221,819994873,4952889094,GTM,America,AMR
Honduras,3613070266,1498843084,5111913350,HND,America,AMR
Jamaica,527113720,163230024,690343744,JAM,America,AMR
Mexico,150541793200,103787198687,254328991888,MEX,America,AMR
Nicaragua,1225624510,205232316,1430856826,NIC,America,AMR
Panama,6695349742,3879494946,10574844688,PAN,America,AMR
Paraguay,650800920,1161438764,1812239684,PRY,America,AMR
Peru,11476518304,3217106739,14693625044,PER,America,AMR
Puerto Rico,18988533927,89953906903,108942440830,PRI,America,AMR
St. Kitts and Nevis,68310555,123439624,191750179,KNA,America,AMR
St. Lucia Island,107251640,4570065,111821705,LCA,America,AMR
Trinidad and Tobago,1332179099,686661489,2018840588,TTO,America,AMR
Uruguay,5149037048,2505895275,7654932323,URY,America,AMR
US Virgin Islands,1372563312,56269727,1428833039,VIR,America,AMR
Venezuela,107543217,506955318,614498534,VEN,America,AMR
Other Americas,3914266190,16090795303,20005061493,OAMR,America,AMR
Armenia,43972233,54882031,98854264,ARM,Asia-Pacific,APAC
Australia,133872136058,24353024983,158225161041,AUS,Asia-Pacific,APAC
Azerbaijan,914743992,152913447,1067657439,AZE,Asia-Pacific,APAC
Bahrain,1469909700,598080104,2067989803,BHR,Asia-Pacific,APAC
Bangladesh,1411708226,25933082,1437641308,BGD,Asia-Pacific,APAC
Brunei,198998402,-42363549,156634853,BRN,Asia-Pacific,APAC
Burma,375877293,21335119,397212412,MMR,Asia-Pacific,APAC
Cambodia,529379529,34856637,564236166,KHM,Asia-Pacific,APAC
China,256886524298,152536300583,409422824881,CHN,Asia-Pacific,APAC
Fiji,40415986,206392207,246808193,FJI,Asia-Pacific,APAC
Georgia,144159217,-1812681,142346536,GEO,Asia-Pacific,APAC
Guam,589172430,10835254,600007684,GUM,Asia-Pacific,APAC
Hong Kong,126084678506,62174306834,188258985340,HKG,Asia-Pacific,APAC
India,73480364672,55670456397,129150821069,IND,Asia-Pacific,APAC
Indonesia,17732619689,6490437195,24223056884,IDN,Asia-Pacific,APAC
Iraq,1218522957,959378789,2177901746,IRQ,Asia-Pacific,APAC
Israel,9741645244,21843616298,31585261543,ISR,Asia-Pacific,APAC
