AFFILIATE_COUNTRY_NAME,UNRELATED_PARTY_REVENUES,RELATED_PARTY_REVENUES,TOTAL_REVENUES,CODE,CONTINENT_NAME,CONTINENT_CODE
United States,10617982421125,3303975478957,13921957900082,USA,America,AMR
Algeria,1661667473,729314079,2390981552,DZA,Africa,AFR
Angola,687941312,5550658244,6238599556,AGO,Africa,AFR
Botswana,305585054,44815257,350400311,BWA,Africa,AFR
Cameroon,72678445,8508160,81186605,CMR,Africa,AFR
Congo,173461941,750754161,924216102,COG,Africa,AFR
Cote D'Ivoire (Ivory Coast),133297916,952919098,1086217014,CIV,Africa,AFR
Egypt,9456819078,1355499826,10812318904,EGY,Africa,AFR
Ethiopia,115575465,7297983,122873448,ETH,Africa,AFR
Gabon,153205130,18508326,171713456,GAB,Africa,AFR
Ghana,1485500241,832037957,2317538198,GHA,Africa,AFR
Kenya,629680314,295907333,925587647,KEN,Africa,AFR
Libya,1020551188,252772535,1273323723,LBY,Africa,AFR
Malawi,47079297,277132543,324211840,MWI,Africa,AFR
Mauritius,4442695874,309069412,4751765286,MUS,Africa,AFR
Morocco,1847422598,788462843,2635885441,MAR,Africa,AFR
Mozambique,103074687,185921326,288996013,MOZ,Africa,AFR
Namibia,76319566,3869943,80189509,NAM,Africa,AFR
Nigeria,3334491635,8843238164,12177729799,NGA,Africa,AFR
Senegal,110669869,56751905,167421774,SEN,Africa,AFR
South Africa,28370520980,3343497996,31714018976,ZAF,Africa,AFR
Tanzania,114625611,146417445,261043056,TZA,Africa,AFR
Tunisia,242739945,208299286,451039231,TUN,Africa,AFR
Uganda,171682273,36667569,208349842,UGA,Africa,AFR
Zambia,354587827,66604087,421191914,ZMB,Africa,AFR
Zimbabwe,81594738,302789066,384383804,ZWE,Africa,AFR
Other Africa,1713075502,1640025012,3353100514,OAFR,Africa,AFR
Argentina,33597084048,11359255339,44956339387,ARG,America,AMR
Aruba,320437782,39788768,360226550,ABW,America,AMR
Bahamas,999157499,1402589255,2401746754,BHS,America,AMR
Barbados,422486174,23594017543,24016503717,BRB,America,AMR
Bermuda,11059060868,67065159006,78124219874,BMU,America,AMR
Bolivia,584285446,464885532,1049170978,BOL,America,AMR
Brazil,147133453473,30201185714,177334639187,BRA,America,AMR
Canada,372914674540,143441530085,516356204626,CAN,America,AMR
Chile,27832468219,3687948532,31520416751,CHL,America,AMR
Colombia,18228515397,4315467920,22543983317,COL,America,AMR
Costa Rica,6076152105,5865426643,11941578748,CRI,America,AMR
Curacao,144521174,941211036,1085732210,CUW,America,AMR
Dominican Republic,2111877440,1993075383,4104952823,DOM,America,AMR
Ecuador,3798862269,1045853234,4844715503,ECU,America,AMR
El Salvador,2561139328,1306260816,3867400144,SLV,America,AMR
Guatemala,4057734141,1078099834,5135833975,GTM,America,AMR
Guyana,115320436,12868215,128188651,GUY,America,AMR
Honduras,2639598733,1659948165,4299546898,HND,America,AMR
Jamaica,415912912,126049291,541962203,JAM,America,AMR
Mexico,129527724401,90807899958,220335624358,MEX,America,AMR
Nicaragua,1392989968,58566077,1451556045,NIC,America,AMR
Panama,5428014492,4102105136,9530119628,PAN,America,AMR
Paraguay,728033646,1444774398,2172808044,PRY,America,AMR
Peru,9424047880,3884850465,13308898345,PER,America,AMR
Puerto Rico,15786577931,82695536299,98482114230,PRI,America,AMR
St. Kitts and Nevis,148724590,40071403,188795993,KNA,America,AMR
St. Lucia Island,123520229,-1852729,121667500,LCA,America,AMR
Trinidad and Tobago,1399747662,805342050,2205089712,TTO,America,AMR
Uruguay,4362745634,1286527163,5649272797,URY,America,AMR
Venezuela,1285754485,56432458,1342186943,VEN,America,AMR
Virgin Islands,1573434331,36255234,1609689565,VIR,America,AMR
Other Americas,335461446,91627383,427088829,OAMR,America,AMR
Armenia,22039071,47394937,69434008,ARM,Asia-Pacific,APAC
Australia,122933246256,20298018979,143231265235,AUS,Asia-Pacific,APAC
Azerbaijan,1396609439,12662441,1409271880,AZE,Asia-Pacific,APAC
Bahrain,1143732822,652247342,1795980164,BHR,Asia-Pacific,APAC
Bangladesh,1294422370,32249428,1326671798,BGD,Asia-Pacific,APAC
Brunei,138383588,6480412,144864000,BRN,Asia-Pacific,APAC
Burma,322810710,15674642,338485352,MMR,Asia-Pacific,APAC
Cambodia,370681906,42224563,412906469,KHM,Asia-Pacific,APAC
China,239489983672,153748622929,393238606601,CHN,Asia-Pacific,APAC
Fiji,233713900,165866828,399580728,FJI,Asia-Pacific,APAC
Georgia,261042098,12779491,273821589,GEO,Asia-Pacific,APAC
Guam,823083206,23441780,846524986,GUM,Asia-Pacific,APAC
Hong Kong,112571697184,53508670020,166080367205,HKG,Asia-Pacific,APAC
India,58121747974,43663178161,101784926136,IND,Asia-Pacific,APAC
Indonesia,21632114312,8007290864,29639405176,IDN,Asia-Pacific,APAC
Iraq,1307840854,548194566,1856035420,IRQ,Asia-Pacific,APAC
Israel,7607184335,14817022926,22424207262,ISR,Asia-Pacific,APAC
Japan,209087886887,26925487100,236013373987,JPN,Asia-Pacific,APAC
Jordan,671540539,359257282,1030797821,JOR,Asia-Pacific,APAC
Kazakhstan,2084234801,684187971,2768422772,KAZ,Asia-Pacific,APAC
Korea,54724513679,18723865890,73448379569,KOR,Asia-Pacific,APAC
Kuwait,1185952883,394609994,1580562877,KWT,Asia-Pacific,APAC
Lebanon,249397010,71108810,320505820,LBN,Asia-Pacific,APAC
Macau,17053084906,10833123400,27886208306,MAC,Asia-Pacific,APAC
Malaysia,22418853095,25953350068,48372203163,MYS,Asia-Pacific,APAC
New Zealand,11599602483,1543098289,13142700773,NZL,Asia-Pacific,APAC
Oman,1299424027,1218820118,2518244145,OMN,Asia-Pacific,APAC
Pakistan,2807558873,154017007,2961575880,PAK,Asia-Pacific,APAC
Papua-New Guinea,1576451194,245012757,1821463951,PNG,Asia-Pacific,APAC
Philippines,10887880419,13494503164,24382383583,PHL,Asia-Pacific,APAC
Qatar,3088752724,868877975,3957630699,QAT,Asia-Pacific,APAC
Saudi Arabia,11151141566,1817492387,12968633952,SAU,Asia-Pacific,APAC
Singapore,207317249415,323111530178,530428779592,SGP,Asia-Pacific,APAC
Sri Lanka,291657602,134369850,426027452,LKA,Asia-Pacific,APAC
Taiwan,32748689360,15157828871,47906518231,TWN,Asia-Pacific,APAC
Thailand,33139416701,23869527022,57008943723,THA,Asia-Pacific,APAC
United Arab Emirates,23383813198,11860816977,35244630175,ARE,Asia-Pacific,APAC
Vietnam,6597447338,2745655075,9343102413,VNM,Asia-Pacific,APAC
Other Asia and Oceania,853478014,142335248,995813262,OASIAOCN,Asia-Pacific,APAC
Albania,64338812,4078031,68416843,ALB,Europe,EUR
Austria,13379924216,4038439527,17418363743,AUT,Europe,EUR
Belarus,122986104,367096148,490082252,BLR,Europe,EUR
Belgium,64401108252,96852552488,161253660741,BEL,Europe,EUR
Bosnia-Herzegovina,116272161,25552232,141824393,BIH,Europe,EUR
Bulgaria,1834054305,1019257253,2853311558,BGR,Europe,EUR
Croatia,793401255,331690007,1125091262,HRV,Europe,EUR
Cyprus,693032211,735983720,1429015931,CYP,Europe,EUR
Czech Republic,10931397846,7274061328,18205459175,CZE,Europe,EUR
Denmark,11888159375,6523198465,18411357840,DNK,Europe,EUR
Estonia,301391149,327647004,629038153,EST,Europe,EUR
Finland,7138230073,3935884821,11074114894,FIN,Europe,EUR
France,146511170317,58099744181,204610914497,FRA,Europe,EUR
Germany,217467354941,120876175526,338343530467,DEU,Europe,EUR
Gibraltar,266735420,2657578025,2924313445,GIB,Europe,EUR
Greece,4336043074,908969493,5245012567,GRC,Europe,EUR
Guernsey,319411216,236834902,556246118,GGY,Europe,EUR
Hungary,11810090599,7339752808,19149843407,HUN,Europe,EUR
Iceland,854442011,141026594,995468605,ISL,Europe,EUR
Ireland,244971306069,275187174064,520158480133,IRL,Europe,EUR
Isle of Man,2051251099,10391124735,12442375834,IMN,Europe,EUR
Italy,84388203038,24275841439,108664044477,ITA,Europe,EUR
Jersey,7116180443,8496833559,15613014002,JEY,Europe,EUR
Latvia,218136307,180771138,398907445,LVA,Europe,EUR
Lithuania,486104494,738351395,1224455889,LTU,Europe,EUR
Luxembourg,39000473752,85297919923,124298393675,LUX,Europe,EUR
Macedonia,47057429,180447122,227504551,MKD,Europe,EUR
Malta,2155081871,-861436214,1293645657,MLT,Europe,EUR
Monaco,154545303,142335492,296880795,MCO,Europe,EUR
Netherlands,121488886439,217682682180,339171568619,NLD,Europe,EUR
Norway,20365280773,9410777562,29776058335,NOR,Europe,EUR
Poland,26255163925,18280813324,44535977248,POL,Europe,EUR
Portugal,7841585852,2766100657,10607686509,PRT,Europe,EUR
Romania,6353297287,5399171684,11752468971,ROU,Europe,EUR
Russia,43812426544,10941260921,54753687465,RUS,Asia-Pacific,APAC
Serbia,762977769,624826484,1387804253,SRB,Europe,EUR
Slovakia,6280075636,2168049749,8448125385,SVK,Europe,EUR
Slovenia,1019126415,314009112,1333135527,SVN,Europe,EUR
Spain,56482628655,28455801497,84938430152,ESP,Europe,EUR
Sweden,20655531414,15246951757,35902483171,SWE,Europe,EUR
Switzerland,180584290524,257118836450,437703126974,CHE,Europe,EUR
Turkey,24939969045,4140443617,29080412661,TUR,Asia-Pacific,APAC
Ukraine,3109297924,2436966825,5546264749,UKR,Europe,EUR
United Kingdom,486655416248,186498871015,673154287264,GBR,Europe,EUR
Other Europe,152464652,65096410,217561062,OEUR,Europe,EUR
"United Kingdom Islands, Caribbean",16307545872,77289394225,93596940097,UKI,America,AMR
