AFFILIATE_COUNTRY_NAME,UNRELATED_PARTY_REVENUES,RELATED_PARTY_REVENUES,TOTAL_REVENUES,CODE,CONTINENT_NAME,CONTINENT_CODE,COUNTRY_CODE,CONS_2019,SHARE_OF_UNRELATED_PARTY_REVENUES,SHARE_OF_RELATED_PARTY_REVENUES,SHARE_OF_TOTAL_REVENUES,SHARE_OF_CONS_2019
Algeria,1802398204,716469264,2518867468,DZA,Africa,AFR,DZA,103458.7805544412,0.041405706088160535,0.023237036799329792,0.03387247128444522,0.2276403544743717
Angola,329262441,2710007460,3039269901,AGO,Africa,AFR,AGO,58850.1682361526,0.00756400213208174,0.08789287445899181,0.040870583210573734,0.12948802495409947
Botswana,402780360,68636024,471416384,BWA,Africa,AFR,BWA,12880.761275087,0.009252897149604289,0.0022260519684312416,0.006339372012587763,0.02834153898631752
Cameroon,78546669,30923625,109470294,CMR,Africa,AFR,CMR,31925.2234199627,0.0018044182931387508,0.0010029368295325434,0.0014721018223951973,0.07024506897381798
Cote D'Ivoire (Ivory Coast),206618307,905407621,1112025928,CIV,Africa,AFR,CIV,46123.0449540651,0.004746552051088996,0.029364818931814838,0.014953969112017825,0.10148453564321512
Egypt,10151033393,1777585557,11928618950,EGY,Africa,AFR,EGY,286477.8363095841,0.23319525298509505,0.05765190926873612,0.16041010810615783,0.6303371821809598
Ethiopia,353894605,14367901,368262506,ETH,Africa,AFR,ETH,72082.9091310039,0.008129866068605817,0.00046598990499908916,0.00495221019688156,0.15860402469649307
Gabon,81922011,141187814,223109825,GAB,Africa,AFR,GAB,8213.7046270515,0.0018819585494976748,0.004579102823223035,0.0030002694610171917,0.018072614260767315
Ghana,2827421441,895415955,3722837396,GHA,Africa,AFR,GHA,56228.3780308719,0.06495311686041234,0.029040762168748145,0.05006285737327599,0.1237192999750391
Kenya,885662059,327691069,1213353128,KEN,Africa,AFR,KEN,90285.9326767973,0.020345927346690305,0.010627908009135083,0.016316566674587654,0.1986561373375198
Libya,1703483889,159076601,1862560490,LBY,Africa,AFR,LBY,52834.1047323731,0.03913339076643392,0.005159284587746534,0.02504678293501515,0.11625088044880495
Malawi,40017305,256035979,296053284,MWI,Africa,AFR,MWI,10525.1647753965,0.0009193000556664318,0.008303939561565658,0.003981176655125114,0.023158520016690633
Mauritius,561135644,1620673278,2181808922,MUS,Africa,AFR,MUS,12808.9922482077,0.012890723869726336,0.05256281949950674,0.02933987635215724,0.0281836255967383
Morocco,1900418613,873527342,2773945955,MAR,Africa,AFR,MAR,91880.2129521733,0.043657486098087395,0.028330855224620973,0.03730263934050716,0.2021640322215806
Mozambique,248098337,206235177,454333514,MOZ,Africa,AFR,MOZ,13451.4851743878,0.005699454648803791,0.006688764805499448,0.006109650111423047,0.029597302779855224
Namibia,191103934,4293257,195397191,NAM,Africa,AFR,NAM,12014.0854136348,0.004390147141699675,0.00013924194087686672,0.0026276038042064857,0.026434592091543873
Nigeria,3341730268,4681305830,8023036098,NGA,Africa,AFR,NGA,376649.8522777582,0.07676810873182491,0.15182741438665134,0.10788978114015343,0.8287426685849139
Senegal,227485728,37405591,264891319,SEN,Africa,AFR,SEN,19175.585963156,0.0052259301922935285,0.001213164525321046,0.0035621261183108495,0.042192041724381554
South Africa,23086129128,11424983413,34511112541,ZAF,Africa,AFR,ZAF,286531.9900247623,0.5303475532021168,0.3705431249310556,0.4640881997128083,0.6304563366002678
Swaziland,366383337,638578876,1004962213,SWZ,Africa,AFR,SWZ,3795.9816122534,0.008416764249850236,0.020710840766627298,0.013514229761688685,0.008352298327514615
Tanzania,168355490,150931535,319287025,TZA,Africa,AFR,TZA,41846.8306229872,0.0038675570813364226,0.004895118059069081,0.004293612396525042,0.09207558126623283
Tunisia,244813018,275489773,520302791,TUN,Africa,AFR,TUN,36395.8856337965,0.005623982451473611,0.00893487873757556,0.006996771990293616,0.08008186702651471
Uganda,223367765,66209144,289576909,UGA,Africa,AFR,UGA,30041.7817935724,0.005131330028311164,0.0021473416835647054,0.003894085599719574,0.06610093237018132
Zambia,322388870,64375564,386764434,ZMB,Africa,AFR,ZMB,13970.2627180149,0.007406098590028441,0.0020878737230039923,0.005201014881069443,0.030738769007194657
Zimbabwe,54388932,263840365,318229297,ZWE,Africa,AFR,ZWE,22310.709281,0.0012494531607072936,0.008557056916057189,0.004279388598821543,0.0490902535491317
Argentina,22766566482,10153377411,32919943894,ARG,America,AMR,ARG,358072.0915480443,0.52300638022066,0.3293015016718021,0.4426909586951967,0.7878660217194818
Aruba,341438558,28139378,369577936,ABW,America,AMR,ABW,2602.2504664804,0.00784371874557935,0.0009126361659196747,0.004969899442333238,0.005725731691849795
Barbados,780724111,29660566207,30441290318,BRB,America,AMR,BRB,4412.53,0.01793523373706514,0.9619724153875451,0.4093592637395225,0.009708889742811493
Bermuda,12876593188,70287507600,83164100788,BMU,America,AMR,BMU,4471.912,0.29580834677703555,2.279614050037424,1.118349278644238,0.009839547957193634
Bolivia,388458420,74751244,463209664,BOL,America,AMR,BOL,35410.3485998553,0.008923885482295576,0.00242438509912643,0.0062290121421019196,0.0779133898943496
Brazil,127477488908,30055092070,157532580979,BRA,America,AMR,BRA,1600136.22605854,2.9284846305702334,0.9747679566025809,2.1184194457886893,3.520779732326092
Canada,380754602341,111926925975,492681528316,CAN,America,AMR,CAN,1368825.797868764,8.746909046656976,3.6300930526964468,6.6253350492914045,3.01182739802875
Chile,30232296146,4854829169,35087125315,CHL,America,AMR,CHL,217466.8311001446,0.6945133244215685,0.1574552457766181,0.47183413172179983,0.4784922676718148
Colombia,17370396576,4255469783,21625866359,COL,America,AMR,COL,272675.0716169596,0.39904252770807025,0.1380163991877912,0.29081384652131187,0.5999669590784171
Costa Rica,7409797011,7938280555,15348077566,CRI,America,AMR,CRI,51949.5289227652,0.17022202781244916,0.2574599171918408,0.20639327921391568,0.11430454829816998
Curacao,194941173,2159814078,2354755251,CUW,America,AMR,CUW,2541.6005273743,0.004478298355938251,0.07004861440950319,0.03166557218062975,0.0055922836310571536
