AFFILIATE_COUNTRY_NAME,UNRELATED_PARTY_REVENUES,RELATED_PARTY_REVENUES,TOTAL_REVENUES,CODE,CONTINENT_NAME,CONTINENT_CODE
Vietnam,5200622455,1836490199,7037112654,VNM,Asia-Pacific,APAC
Other Asia and Oceania,1264853140,91903083,1356756223,OASIAOCN,Asia-Pacific,APAC
Albania,20775779,3115111,23890890,ALB,Europe,EUR
Austria,13325350907,3692332996,17017683903,AUT,Europe,EUR
Belarus,103140516,55617037,158757553,BLR,Europe,EUR
Belgium,54072926947,71632254002,125705180949,BEL,Europe,EUR
Bosnia-Herzegovina,81630841,12024842,93655683,BIH,Europe,EUR
Bulgaria,1623127369,861445567,2484572936,BGR,Europe,EUR
Croatia,504229094,204778272,709007366,HRV,Europe,EUR
Cyprus,521797926,509819676,1031617602,CYP,Europe,EUR
Czech Republic,8296643199,5644022084,13940665283,CZE,Europe,EUR
Denmark,10494193789,5246183446,15740377235,DNK,Europe,EUR
Estonia,269566001,253847345,523413346,EST,Europe,EUR
Finland,6007117891,3986343309,9993461200,FIN,Europe,EUR
France,115219748226,43797740545,159017488772,FRA,Europe,EUR
Germany,179120251177,119650489647,298770740824,DEU,Europe,EUR
Greece,3808739849,613381185,4422121034,GRC,Europe,EUR
Guernsey,249113785,277198394,526312179,GGY,Europe,EUR
Hungary,8884494156,11978272351,20862766507,HUN,Europe,EUR
Iceland,512716488,1211650903,1724367391,ISL,Europe,EUR
Ireland,148843133427,197926461571,346769594998,IRL,Europe,EUR
Italy,70587385091,17965860227,88553245318,ITA,Europe,EUR
Jersey,437135410,1892463102,2329598512,JEY,Europe,EUR
Latvia,145638859,330565222,476204081,LVA,Europe,EUR
Lithuania,317466075,615255248,932721323,LTU,Europe,EUR
Luxembourg,22074829910,57358377260,79433207170,LUX,Europe,EUR
Macedonia,35715852,126900215,162616067,MKD,Europe,EUR
Malta,1746037425,-594278801,1151758624,MLT,Europe,EUR
Monaco,150653417,118666186,269319603,MCO,Europe,EUR
Netherlands,93322605783,165217233660,258539839443,NLD,Europe,EUR
Norway,15319818242,9135095326,24454913568,NOR,Europe,EUR
Poland,19022082719,15998642941,35020725659,POL,Europe,EUR
Portugal,6799830417,2289250819,9089081236,PRT,Europe,EUR
Romania,4586252187,3861483524,8447735711,ROU,Europe,EUR
Russia,29057240303,7747132709,36804373012,RUS,Asia-Pacific,APAC
Serbia,479980755,325336559,805317314,SRB,Europe,EUR
Slovakia,4568071233,1600478299,6168549532,SVK,Europe,EUR
Slovenia,863329804,229309634,1092639438,SVN,Europe,EUR
Spain,49176664808,28888333867,78064998675,ESP,Europe,EUR
Sweden,17886307490,12297566158,30183873648,SWE,Europe,EUR
Switzerland,131145413215,165027536279,296172949494,CHE,Europe,EUR
Turkey,13566000656,2928316698,16494317354,TUR,Asia-Pacific,APAC
Ukraine,1831162084,1193883734,3025045818,UKR,Europe,EUR
United Kingdom,386316979376,133920690779,520237670155,GBR,Europe,EUR
Other Europe,1839448348,12198439378,14037887725,OEUR,Europe,EUR
"United Kingdom Islands, Caribbean",16565917723,38141232607,54707150331,UKI,America,AMR
