AFFILIATE_COUNTRY_CODE,OTHER_COUNTRY_CODE,AFFILIATE_COUNTRY_NAME,UNRELATED_PARTY_REVENUES,RELATED_PARTY_REVENUES,TOTAL_REVENUES
ABW,ABW,Aruba,338784683.86303246,14213314.911501678,309703556.9779322
ABW,ARE,Aruba,282012.8499186849,133268.02177455806,506197.42232345627
ABW,AUS,Aruba,844882.2275550388,399257.63358374516,1516516.7327608515
ABW,BRA,Aruba,368260.52631724655,174025.23273002595,661007.217291763
ABW,CAN,Aruba,885854.8775898984,418619.6733581081,1590060.3668164883
ABW,CHE,Aruba,607698.9746424073,287174.2908465786,1090785.9503610963
ABW,CHN,Aruba,1750074.1892405383,827015.2414191372,3141286.092898983
ABW,COL,Aruba,236773.1224260733,111889.53143165761,424994.6209263617
ABW,CUW,Aruba,357133.88590592344,168767.22637662242,641035.5149492784
ABW,DEU,Aruba,1422051.119499438,672004.625365936,2552502.87818572
ABW,ESP,Aruba,406946.3379132733,192306.6038931921,730446.1032008486
ABW,FRA,Aruba,592019.5786164404,279764.83382501744,1062642.3042321291
ABW,GBR,Aruba,1441872.9563251818,681371.634643941,2588081.9757686877
ABW,HKG,Aruba,762419.3028734827,360288.9452944559,1368500.357184019
ABW,IND,Aruba,832797.8479737941,393547.037908301,1494825.9417342439
ABW,IRL,Aruba,324381.7254481586,153289.86201429722,582247.2036931596
ABW,ITA,Aruba,2621273.4916730123,1238709.274652118,4705040.515254093
ABW,JPN,Aruba,883653.1373868533,417579.2187780919,1586108.3652827686
ABW,KOR,Aruba,654120.0008218455,309111.01582014805,1174109.11737429
ABW,MEX,Aruba,495618.4231116272,234209.49372398184,889607.5774825874
ABW,NIC,Aruba,1120776.1763853536,529634.1068217156,2011731.0670467296
ABW,NLD,Aruba,6156615.766272652,2909370.9887112835,11050783.792375993
ABW,NOR,Aruba,268797.4932788521,127022.9714623343,482476.59021209175
ABW,OAFR,Aruba,1638549.0803462358,774312.9243267729,2941104.7087424933
ABW,OASIAOCN,Aruba,228458.59469022523,107960.41733751027,410070.5048481875
ABW,SAU,Aruba,235482.79354473014,111279.77348089487,422678.552159021
ABW,SGP,Aruba,842544.6373885808,398152.9817308479,1512320.8880784165
ABW,SLV,Aruba,394420.98357517057,186387.6211406486,707963.7869465939
ABW,THA,Aruba,236668.0245688062,111839.86637726464,424805.9761023558
ABW,TWN,Aruba,246014.9444395448,116256.8478063655,441583.17879576504
ABW,USA,Aruba,18804393.05103745,35980945.95037652,89177097.4610346
ABW,VEN,Aruba,476943.0162010066,225384.24148625243,856086.2580046856
AGO,AGO,Angola,672239523.3327174,597507094.0454763,3108540324.4534683
AGO,ARE,Angola,2348642.379810984,33396217.13262406,14705533.299315346
AGO,BEL,Angola,721646.900063859,10261364.937797492,4518441.211169336
AGO,CHN,Angola,37726407.95234233,536445787.76262075,236216017.0384791
AGO,DEU,Angola,525039.0264995892,7465724.659832197,3287422.1098961853
AGO,ESP,Angola,2217802.4830288184,31535756.110499874,13886306.636478765
AGO,FRA,Angola,1187228.2961477193,16881639.497340348,7433581.797282724
AGO,IDN,Angola,1063332.2905641913,15119916.239725752,6657832.857630464
AGO,IND,Angola,6523267.414918261,92756758.91546929,40844075.29005732
AGO,ISR,Angola,377088.1137077416,5361955.754425613,2361058.397213919
AGO,ITA,Angola,864104.6746209082,12287024.873185573,5410410.78708393
AGO,JPN,Angola,748404.1553492813,10641836.275224747,4685976.171783359
AGO,KOR,Angola,372933.1039492608,5302874.129536614,2335042.6721773823
AGO,OAFR,Angola,441182.12925428693,6273332.334569957,2762369.677300082
AGO,PRT,Angola,1938697.1658277577,27567054.08236621,12138747.03719806
AGO,THA,Angola,1402830.0761072407,19947361.175362647,8783527.27295006
AGO,TWN,Angola,590457.3685801298,8395932.330168894,3697025.3837368004
AGO,URY,Angola,533281.4591407342,7582926.866754333,3339030.378874741
AGO,USA,Angola,2493854.4660155736,1468783634.008138,183153915.3950117
AGO,ZAF,Angola,1889548.211353898,26868186.868881553,11831011.132892337
ALB,ALB,Albania,50483578.27400992,173473.8798137652,37821988.980502754
ALB,AUT,Albania,291207.5205262641,9080.380019620297,400056.97768693935
ALB,BEL,Albania,145285.2855065781,4530.259387788645,199590.9725034167
ALB,BGR,Albania,194122.58988001556,6053.095343547145,266683.0048475897
ALB,CHE,Albania,315496.8133973359,9837.764338811648,433425.2817698606
ALB,CHN,Albania,1032475.6407802076,32194.467925630728,1418401.1581825302
ALB,CZE,Albania,297715.3191422212,9283.305014198932,408997.30395663896
ALB,DEU,Albania,2127149.419389984,66328.38688942332,2922249.2821332705
ALB,ESP,Albania,1410434.6730150403,43979.917828634396,1937636.1966598774
ALB,FRA,Albania,1137934.0142050346,35482.85177374666,1563278.454166759
ALB,GBR,Albania,338301.7820831997,10548.864730824045,464754.4412373927
ALB,GRC,Albania,1885179.6123587424,58783.32831007354,2589834.4134599874
ALB,HUN,Albania,164694.49023151223,5135.473684667068,226255.07708262486
ALB,IND,Albania,176312.27170468605,5497.737236688924,242215.42912018855
ALB,ITA,Albania,8163425.096045251,254550.43880678443,11214803.675384576
ALB,JPN,Albania,645624.6606121098,20131.750917015193,886950.4811478304
ALB,MKD,Albania,1048108.2015566763,32681.919596774445,1439876.9600658042
ALB,NLD,Albania,170610.20913542737,5319.936557190843,234382.01220184454
ALB,OAMR,Albania,755053.5760246152,23543.943484311254,1037282.4543481526
ALB,OEUR,Albania,1102887.8121390322,34390.04746557288,1515132.4528114602
ALB,POL,Albania,315321.3811833014,9832.294043373407,433184.2753521392
