UNRELATED_PARTY_REVENUES,RELATED_PARTY_REVENUES,TOTAL_REVENUES,COUNTRY_CODE,COUNTRY_NAME,CONS_2016_x,SHARE_OF_UNRELATED_PARTY_REVENUES,SHARE_OF_RELATED_PARTY_REVENUES,SHARE_OF_TOTAL_REVENUES,CONS_2016_y,SHARE_OF_CONS_2016
321027955.8922615,41830948.21054698,433356726.0444458,ABW,Aruba,2327.9497206704,0.003950909816829112,0.0011953279459759475,0.003678541330355352,2327.9497206704,0.004139526522496963
82426274.92337671,88226379.33332051,190576016.0789972,AFG,Afghanistan,18591.8631238794,0.0010144249831896789,0.0025210869296719155,0.001617701329156611,18591.8631238794,0.03305978209949
2948855566.154093,1819038238.7160676,9432679578.223806,AGO,Angola,70692.1076939498,0.03629173780939936,0.05197939168369022,0.08006914303883776,70692.1076939498,0.12570368343094848
79019541.84433384,26466433.267537758,92521110.33140041,ALB,Albania,10939.7727699116,0.0009724981200668171,0.0007562837723821637,0.000785363899600621,10939.7727699116,0.019452945709711414
15908.935354087562,0.0,11638.32445412911,AND,Andorra,2236.3782152844,1.9579219725916528e-07,0.0,9.879172272546761e-08,2236.3782152844,0.00397669539608365
62774886009.013245,36890091972.16446,98245113541.01389,ARE,United Arab Emirates,173959.2056623554,0.772574191222695,1.054141963074916,0.8339520052332317,173959.2056623554,0.3093317434125889
60397643398.54638,5696286715.919699,64793634845.72549,ARG,Argentina,464850.7633813206,0.7433173274689661,0.16277256412068636,0.5499996870926812,464850.7633813206,0.8265909039761351
3534447.4739501798,6183773.244595049,24891543.785428576,ARM,Armenia,9465.9816118999,4.3498651645724905e-05,0.00017670259190966992,0.00021129145364103086,9465.9816118999,0.016832271589028926
166434051800.48837,50626810513.10485,215835950608.54056,AUS,Australia,987167.8585509878,2.0483136033606892,1.4466715197884306,1.8321198614755614,987167.8585509878,1.755367607961716
49008429980.39843,27372337635.549065,73383107836.18654,AUT,Austria,284465.1076590921,0.6031496122472298,0.7821701759610472,0.6229112850959884,284465.1076590921,0.505831740017416
1316388960.821525,159614556.3942727,1123632893.6187313,AZE,Azerbaijan,27090.2522967973,0.016200875882039056,0.00456101876730882,0.009537939048624251,27090.2522967973,0.048171494808501504
160585439778.8535,131057763912.46002,285139974594.4471,BEL,Belgium,354680.9079498587,1.9763343933667255,3.745002550580076,2.4204059114443557,354680.9079498587,0.6306884605131982
1921549.1374192387,692050.7702593625,3601766.6395642236,BEN,Benin,9870.745148741,2.364861754624588e-05,1.9775493052692132e-05,3.057353595701025e-05,9870.745148741,0.017552016255855705
809381503.2919765,41795391.172262214,794296342.8501192,BFA,Burkina Faso,10942.4562224413,0.009961105468301859,0.0011943118962960792,0.006742371238573089,10942.4562224413,0.019457717386187037
5145198976.261908,5023304970.746128,9120834592.388166,BGD,Bangladesh,165285.9150151391,0.06332226453098844,0.1435419723806022,0.07742205208554578,165285.9150151391,0.2939090234317049
2889731000.249575,1321185379.2558248,4080245316.7156057,BGR,Bulgaria,41078.7830226474,0.03556408832105911,0.03775314386110752,0.03463509421563203,41078.7830226474,0.0730456978190994
712528416.6319923,239724335.30254257,1185322420.8044581,BHR,Bahrain,20063.2937047872,0.008769128869841526,0.006850172170981027,0.010061589569695205,20063.2937047872,0.035676258676109046
1487852350.3022754,2550186528.7030725,12039524347.608925,BHS,Bahamas,9034.488083,0.01831108583818892,0.0728721044014392,0.10219730131973709,9034.488083,0.01606499603693815
462552607.28561276,100671591.0228701,520561990.9221006,BIH,Bosnia and Herzegovina,16757.0700899745,0.005692661973457375,0.0028767114125602664,0.0044187817646162905,16757.0700899745,0.029797179664522132
