UNRELATED_PARTY_REVENUES,RELATED_PARTY_REVENUES,TOTAL_REVENUES,COUNTRY_CODE,COUNTRY_NAME,CONS_2019,SHARE_OF_UNRELATED_PARTY_REVENUES,SHARE_OF_RELATED_PARTY_REVENUES,SHARE_OF_TOTAL_REVENUES,SHARE_OF_CONS_2019
298039599.6161485,10975389.1067143,251898378.0056054,ABW,Aruba,2602.2504664804,0.005334318085982675,0.00043214250225421955,0.003052226991732166,0.005725731691849795
357252857.7690611,633932160.4540373,2715898691.778548,AGO,Angola,58850.1682361526,0.006394118039753411,0.024960302310415596,0.03290826784788625,0.12948802495409947
67773838.84010553,13197548.629458647,55266448.621708386,ALB,Albania,14051.8781153079,0.001213017380062477,0.0005196373115252019,0.0006696579293440452,0.030918347365559016
77165565621.26135,30717512191.757538,105045827105.5195,ARE,United Arab Emirates,215044.2345385977,1.3811106740135166,1.2094644164779444,1.2728295886572254,0.47316182846633104
29667209715.723686,4676262084.226774,33383694329.836174,ARG,Argentina,358072.0915480443,0.5309842502507885,0.18412209158379989,0.40450682423606,0.7878660217194817
36373424.81874329,12865894.910974592,63514092.48220184,ARM,Armenia,13075.066691008,0.0006510122081416211,0.0005065788526046031,0.0007695937900212903,0.02876906919225563
163379343765.9098,46491988767.86278,207653351487.3137,AUS,Australia,1020336.685921834,2.924166417646914,1.8305651094072215,2.516114511539736,2.245046806290442
24456821277.516014,18079946557.8575,39367196315.95869,AUT,Austria,316061.2495476858,0.4377286247677235,0.7118757494761945,0.47700830841282493,0.6954295662202205
792657769.4027807,96645044.3865963,757991998.4743371,AZE,Azerbaijan,33062.0588235294,0.01418700293774935,0.0038052802416038306,0.009184511847904378,0.072746447908115
82462327891.59589,86271029118.45265,167037561484.86688,BEL,Belgium,398147.378469019,1.475912219889252,3.3968160976167594,2.0239771205906165,0.8760436753846758
2963626392.709619,3379680484.23678,5679308866.871397,BGD,Bangladesh,225717.7727548309,0.05304303819723006,0.13307077927509262,0.06881560713131293,0.49664681456435034
1561481403.9381719,694948365.8540466,2296941773.1867023,BGR,Bulgaria,52218.6171861956,0.027947422103239538,0.027362740658909927,0.02783180953392874,0.11489662320320866
1256602935.6432955,149633408.1899029,1364211959.1719258,BHR,Bahrain,21444.2232207447,0.022490701823294774,0.0058916321605813025,0.016530017371273877,0.04718372427393088
144345463.51223025,47400721.92598966,171330306.03268093,BIH,Bosnia and Herzegovina,18779.284052975,0.0025834976883424947,0.0018663453643955469,0.0020759918690823973,0.041320058632864226
241609862.43677765,477204121.03572714,676491566.5555236,BLR,Belarus,45606.7033711268,0.004324337640394743,0.01878932773547385,0.008196979414746366,0.10034842926017029
10560144448.641962,7778678797.818323,37806301166.57391,BMU,Bermuda,4471.912,0.18900565426718624,0.30627594951186066,0.4580951008569192,0.009839547957193632
462418997.6280391,281768867.2354089,808748027.3052173,BOL,Bolivia (Plurinational State of),35410.3485998553,0.008276383492415542,0.011094304006949156,0.00979951748000615,0.07791338989434958
164466250005.9031,36651676460.45667,197662965735.679,BRA,Brazil,1600136.22605854,2.943619884975521,1.4431148657631023,2.3950620248568826,3.520779732326091
165942369.55105522,233912859.597159,609122881.6041095,BRB,Barbados,4412.53,0.0029700394990030484,0.009210032325315674,0.007380679920346163,0.00970888974281149
162030581.2122232,-9390494.995787848,98945268.37242636,BRN,Brunei Darussalam,6127.3958137065,0.0029000262413311066,-0.0003697392379831843,0.0011989097397990484,0.013482108986418473
440267688.68959683,115106058.17088869,525706493.79905665,BWA,Botswana,12880.761275087,0.007879918968739139,0.004532160046349273,0.006369932044844899,0.028341538986317513
541103658752.4916,123458972434.18147,650780000328.8503,CAN,Canada,1368825.797868764,9.684682964922427,4.861045813929583,7.885434985369313,3.0118273980287493
153723327419.81015,88531870343.09142,268670101374.6393,CHE,Switzerland,459989.729563667,2.75134286433426,3.4858339515183765,3.2554482556804842,1.012115400271345
39156802611.20997,6688329213.761596,44971069119.87915,CHL,Chile,217466.8311001446,0.7008291536669803,0.26334477021564157,0.5449098644521387,0.47849226767181474
464549851663.8859,234406757497.59094,722776140399.6775,CHN,China,7999438.352172541,8.314521556070996,9.229478950166559,8.757804882168802,17.601164176937232
200170379.84389064,231444772.70609698,982663353.8794559,CIV,Côte d'Ivoire,46123.0449540651,0.0035826530395776084,0.009112854427155152,0.01190683177971948,0.1014845356432151
77019238.31295007,30626434.26677341,106972895.60230625,CMR,Cameroon,31925.2234199627,0.0013784917052315046,0.0012058783347436133,0.0012961796813707176,0.07024506897381798
27686002033.346016,6373344391.213233,35534604974.75856,COL,Colombia,272675.0716169596,0.49552455970696063,0.2509426286546759,0.4305691894613337,0.5999669590784171
6607981851.065758,1027887075.7111026,8392592020.720109,CRI,Costa Rica,51949.5289227652,0.11826977738992868,0.04047179454082667,0.10169218277248251,0.11430454829816997
