PARENT_COUNTRY_CODE,AFFILIATE_COUNTRY_CODE,OTHER_COUNTRY_CODE,UNRELATED_PARTY_REVENUES,RELATED_PARTY_REVENUES,TOTAL_REVENUES
AUS,ARE,AUS,279120.3331354851,203856.42870165876,637398.8648500482
AUS,ARE,BEL,329055.2273851911,240326.5385463575,751430.1306973853
AUS,ARE,BHR,144283.35846730144,105377.81267245831,329485.3078982611
AUS,ARE,CHE,1761518.7779642125,1286530.8776784411,4022602.2120052087
AUS,ARE,CHN,1524982.7306499584,1113776.0184282383,3482448.7722304
AUS,ARE,DEU,302885.84197750635,221213.64415203047,691669.7529230257
AUS,ARE,EGY,154341.77230280417,112724.00741174891,352454.68991683825
AUS,ARE,FRA,299200.3743820585,218521.9510974116,683253.6234515844
AUS,ARE,GBR,520319.55029088724,380017.04897101404,1188201.1137960183
AUS,ARE,HKG,533207.4722523106,389429.7840266366,1217631.9572469676
AUS,ARE,IDN,191147.47298990292,139605.16871464884,436504.14476819773
AUS,ARE,IND,2388386.536033572,1744365.7512353067,5454116.687916053
AUS,ARE,IRN,616157.7233440215,450012.7654150042,1407057.0531937352
AUS,ARE,IRQ,239599.8837096579,174992.54196817943,547150.0129680944
AUS,ARE,ITA,283413.36112992367,206991.85543833324,647202.4185348899
AUS,ARE,JPN,2147066.9427682925,1568117.213888808,4903039.54822698
AUS,ARE,KOR,916817.8432970489,669600.8463624627,2093644.1499163401
AUS,ARE,KWT,347710.0585177843,253951.15417361472,794030.2811569097
AUS,ARE,LKA,130691.44323968666,95450.91388156192,298446.82625165716
AUS,ARE,MYS,300014.47472846403,219116.53189114569,685112.7020462672
AUS,ARE,NLD,270936.274177882,197879.17504679528,618709.7574287341
AUS,ARE,OMN,426947.72984208056,311822.64104578807,974977.3343081828
AUS,ARE,PAK,821332.567641491,599862.869662331,1875594.0866011602
AUS,ARE,QAT,488375.8104059931,356686.8363019558,1115254.426920958
AUS,ARE,RUS,129640.22456087238,94683.15295479514,296046.26451164176
AUS,ARE,SAU,1150833.0752068805,840514.6200135297,2628041.0585949514
AUS,ARE,SDN,117503.44611497367,85819.01796996327,268330.7315103347
AUS,ARE,SGP,1003968.4068734869,733251.5394182274,2292661.0745188906
AUS,ARE,THA,754717.1034527963,551210.052172253,1723471.09083674
AUS,ARE,TUR,462843.29054802965,338039.07870031905,1056948.394567781
AUS,ARE,TWN,400288.4260786587,292351.9332122392,914098.1795521963
AUS,ARE,USA,804433.1118288813,587520.2980185524,1837002.5091602136
AUS,ARE,ZAF,145236.6995953006,106074.0884167051,331662.3565782173
AUS,ARE,ARE,93566058.4851066,3375620.4124114844,85662673.89491513
AUS,ARG,AUS,627454.2033324747,443470.5114778373,2096126.034295049
AUS,ARG,BEL,381458.82854609785,269606.5161482986,1274333.2936180579
AUS,ARG,BGD,445100.20768258756,314586.81081668765,1486939.0120241737
AUS,ARG,BOL,831895.3906689563,587964.9422007836,2779099.3779784585
AUS,ARG,BRA,8859601.832969952,6261767.210244171,29597127.498620257
